method,angle,d_hat_um,sigma_stat_um,bias_corrected_um,note,method_angle
E1 极值回归,10,8.015,0.072,yes,亚像素极值+robust回归+多假设周期竞争,E1 极值回归 @10°
E1 极值回归,15,7.801,0.103,yes,同上,E1 极值回归 @15°
E2 谱域FFT,10,7.879,0.504,yes,半高宽定sigma; 零填充x8,E2 谱域FFT @10°
E2 谱域FFT,15,7.817,0.505,yes,同上,E2 谱域FFT @15°
E3 全谱拟合,10,8.043,0.009,yes,单角度lsqnonlin; 双起点防盆地,E3 全谱拟合 @10°
E3 全谱拟合,15,8.012,0.009,yes,同上,E3 全谱拟合 @15°
逆方差融合(统计),10,8.042,0.009,yes,X2_L1=0.24 PASS,逆方差融合(统计) @10°
逆方差融合(统计),15,8.011,0.009,yes,X2_L1=4.25 PASS,逆方差融合(统计) @15°
