fused10,fused15
8.04140526091852,7.98886548182384
8.0442466447295,7.98886548182384
8.04314735655044,7.98886548182384
8.05084680451089,8.01148784450403
8.04519596630648,7.98886548182384
8.0427568926774,7.98886548182384
8.04211682877058,7.98886548182384
8.04660956739692,7.994230859524
8.05084680451089,8.01302634988672
8.04349506899986,8.00267469971084
8.04422112561749,7.99460620820607
8.05084680451089,7.99150904205534
8.0475446171418,7.99970173700751
8.04327542727555,7.98886582184601
8.04574640111606,7.99689299715499
8.04561329334188,8.00802803049891
8.04387018335464,8.00500428000689
8.04460649568893,7.98886548182384
8.04492474628352,7.98921625207557
8.04577925998862,8.01265257703428
8.04424994127579,7.99521371877309
8.04886210265903,8.0065573691251
8.04951888826912,8.00932363761051
8.04604165419584,8.00718601827358
8.04577714811864,8.0165927388297
8.04905846748504,7.98886548182384
8.04293269257849,8.00378522817785
8.04398158522998,8.01222396842001
8.04318140452386,8.01046990314047
8.04947788886921,8.01342667455781
8.04609828473901,8.00405904673899
8.04618279919787,7.98886548182384
8.05084680451089,8.00432842905538
8.04601592467727,7.98886548182384
8.04949905225794,7.98886548182384
8.04407296252787,7.98886548182384
8.05084680451089,8.00561209543347
8.04281343662339,7.99965063918518
8.05084680451089,7.98886548182384
8.04285825429391,7.9989906203164
8.04402694247989,7.99647272600205
8.04514331904849,7.98886548182384
8.04529291856655,8.0001741321614
8.04408249141489,7.98886548182384
8.05084680451089,8.00705680802361
8.04767292961582,8.0079748426064
8.05024864704087,7.99274651623538
8.0436993009119,7.98886548182384
8.04398215536358,7.99840439454764
8.04407717764725,8.01213734968699
8.04459625356727,8.0058786102998
8.04272652301622,8.00000519221114
8.05084680451089,8.01056055706549
8.04555468368983,7.98886555990604
8.04790263591842,8.01190598094222
8.04687827484697,7.99920101330618
8.04493105048086,8.00827377305737
8.04300720622972,7.98886548182384
8.04422716660169,8.01704149339231
8.04358839906584,8.01755080603404
8.03996504864801,8.01129171778742
8.05084680451089,7.98886548182384
8.04934053122608,8.01238541346494
8.04611427193519,7.99094278881485
8.04475460492553,7.98886548182384
8.05084680451089,8.01134102595537
8.05084680451089,8.01279989534524
8.04511825346527,7.98886548182384
8.04741845975031,8.0138476086984
8.04427155271496,8.00907928382243
8.04317410491052,7.98886548182384
8.04472141455259,7.98982867246373
8.04263852586769,8.01169012919535
8.04519932343456,8.00818970760755
8.04468858017627,8.01403180457775
8.04430725054365,7.98886548182384
8.04507104641156,7.98886548182384
8.05084680451089,8.00258781551283
8.045563553643,8.01213958541965
8.04477778977739,7.99438874765426
8.04194866086803,7.98886548182384
8.04378107301067,8.01339146745347
8.05084680451089,7.98886548182384
8.0447680699349,7.98886548182384
8.04474065563639,7.98886548182384
8.0439862769338,8.00759328094121
8.05084680451089,8.00323917502598
8.04623302047001,7.9888659020389
8.04514577355477,7.98886548182384
8.0455760852206,7.99464603030075
8.05084680451089,8.00694451403578
8.04487150286596,8.01316367929744
8.04475806084115,7.98886548182384
8.04458934089382,7.98886548182384
8.04625447629541,7.98886548182384
8.04496428531593,8.01169762786747
8.05084680451089,7.99379353619729
8.05084680451089,7.98886548182384
8.04529883137395,8.00220171527249
8.044071099956,7.99531957965155
8.05084680451089,8.00068567379642
8.0431488483716,7.99368369534474
8.04494525358792,7.98886566920423
8.04445515425956,7.9983058163434
8.05084680451089,8.01347556443408
8.05084680451089,7.98886565202879
8.04582246801913,8.00985914568577
8.05084680451089,7.99689621117025
8.05084680451089,7.98886548182384
8.05084680451089,7.99318535359945
8.05084680451089,7.98886548182384
8.04497281632842,7.98886548182384
8.04498190419193,8.01374116219155
8.04555935270668,7.98886548182384
