t,T_center_q1,T_center_q2,T_surface_q1,T_surface_q2,C_surface_q1,C_surface_q2
1764,33.3844,32.0292,36.5781,35.2254,1.5181,1.6538
1765,33.3897,32.0337,36.5839,35.2307,1.5178,1.6536
1766,33.395,32.0381,36.5897,35.2359,1.5176,1.6535
1767,33.4003,32.0425,36.5955,35.2412,1.5174,1.6534
1768,33.4056,32.047,36.6013,35.2464,1.5172,1.6532
1769,33.4109,32.0514,36.6071,35.2517,1.517,1.6531
1770,33.4162,32.0558,36.6129,35.2569,1.5168,1.6529
1771,33.4215,32.0603,36.6187,35.2621,1.5165,1.6528
1772,33.4268,32.0647,36.6245,35.2673,1.5163,1.6526
1773,33.4321,32.0692,36.6303,35.2726,1.5161,1.6525
1774,33.4374,32.0736,36.636,35.2778,1.5159,1.6523
1775,33.4427,32.078,36.6418,35.283,1.5157,1.6522
1776,33.448,32.0825,36.6476,35.2882,1.5155,1.6521
1777,33.4533,32.0869,36.6534,35.2935,1.5153,1.6519
1778,33.4586,32.0914,36.6592,35.2987,1.515,1.6518
1779,33.4639,32.0958,36.6649,35.3039,1.5148,1.6516
1780,33.4692,32.1003,36.6707,35.3091,1.5146,1.6515
1781,33.4745,32.1047,36.6765,35.3143,1.5144,1.6513
1782,33.4798,32.1091,36.6822,35.3195,1.5142,1.6512
1783,33.4852,32.1136,36.688,35.3247,1.514,1.651
1784,33.4905,32.118,36.6937,35.3299,1.5138,1.6509
1785,33.4958,32.1225,36.6995,35.3351,1.5135,1.6508
1786,33.5011,32.1269,36.7052,35.3403,1.5133,1.6506
1787,33.5064,32.1314,36.711,35.3455,1.5131,1.6505
1788,33.5117,32.1358,36.7167,35.3508,1.5129,1.6503
1789,33.517,32.1403,36.7225,35.356,1.5127,1.6502
1790,33.5223,32.1447,36.7282,35.3611,1.5125,1.65
1791,33.5276,32.1492,36.734,35.3663,1.5123,1.6499
1792,33.5329,32.1536,36.7397,35.3715,1.512,1.6497
1793,33.5382,32.1581,36.7454,35.3767,1.5118,1.6496
1794,33.5435,32.1625,36.7512,35.3819,1.5116,1.6495
1795,33.5488,32.167,36.7569,35.3871,1.5114,1.6493
1796,33.5541,32.1715,36.7626,35.3923,1.5112,1.6492
1797,33.5594,32.1759,36.7684,35.3975,1.511,1.649
1798,33.5648,32.1804,36.7741,35.4027,1.5108,1.6489
1799,33.5701,32.1848,36.7798,35.4079,1.5105,1.6487
1800,33.5754,32.1893,36.7856,35.4131,1.5103,1.6486
