time_s,T_center,T_surface,C_center,C_surface
1,28.0,28.0001,2.55,2.5352
2,28.0,28.0004,2.55,2.5227
3,28.0,28.0007,2.55,2.5119
4,28.0,28.001,2.55,2.5026
5,28.0,28.0014,2.55,2.4943
6,28.0,28.0019,2.55,2.4869
7,28.0,28.0024,2.55,2.4802
8,28.0,28.0029,2.55,2.4741
9,28.0,28.0034,2.55,2.4684
10,28.0,28.004,2.55,2.4631
11,28.0,28.0046,2.55,2.4582
12,28.0,28.0053,2.55,2.4535
13,28.0,28.006,2.55,2.449
14,28.0,28.0067,2.55,2.4448
15,28.0,28.0074,2.55,2.4408
16,28.0,28.0081,2.55,2.4369
17,28.0,28.0089,2.55,2.4331
18,28.0,28.0097,2.55,2.4295
19,28.0,28.0105,2.55,2.426
20,28.0,28.0113,2.55,2.4226
21,28.0,28.0122,2.55,2.4193
22,28.0,28.0131,2.55,2.4161
23,28.0,28.014,2.55,2.413
24,28.0,28.0149,2.55,2.41
25,28.0,28.0158,2.55,2.407
26,28.0,28.0168,2.55,2.4041
27,28.0,28.0177,2.55,2.4013
28,28.0,28.0187,2.55,2.3985
29,28.0,28.0197,2.55,2.3958
30,28.0,28.0207,2.55,2.3931
31,28.0,28.0218,2.55,2.3905
32,28.0,28.0228,2.55,2.388
33,28.0,28.0239,2.55,2.3854
34,28.0,28.025,2.55,2.383
35,28.0,28.0261,2.55,2.3805
36,28.0,28.0272,2.55,2.3781
37,28.0,28.0283,2.55,2.3758
38,28.0,28.0295,2.55,2.3735
39,28.0,28.0306,2.55,2.3712
40,28.0,28.0318,2.55,2.3689
41,28.0,28.033,2.55,2.3667
42,28.0,28.0342,2.55,2.3645
43,28.0,28.0354,2.55,2.3623
44,28.0,28.0366,2.55,2.3602
45,28.0,28.0379,2.55,2.3581
46,28.0,28.0391,2.55,2.356
47,28.0,28.0404,2.55,2.3539
48,28.0,28.0417,2.55,2.3519
49,28.0,28.043,2.55,2.3499
50,28.0,28.0443,2.55,2.3479
51,28.0,28.0456,2.55,2.346
52,28.0,28.0469,2.55,2.344
53,28.0,28.0483,2.55,2.3421
54,28.0,28.0496,2.55,2.3402
55,28.0,28.051,2.55,2.3383
56,28.0,28.0524,2.55,2.3365
57,28.0,28.0538,2.55,2.3346
58,28.0,28.0552,2.55,2.3328
59,28.0,28.0566,2.55,2.331
60,28.0,28.058,2.55,2.3292
61,28.0,28.0595,2.55,2.3274
62,28.0,28.061,2.55,2.3257
63,28.0,28.0625,2.55,2.324
64,28.0,28.0641,2.55,2.3222
65,28.0,28.0657,2.55,2.3205
66,28.0,28.0673,2.55,2.3188
67,28.0,28.0689,2.55,2.3172
68,28.0,28.0706,2.55,2.3155
69,28.0,28.0723,2.55,2.3139
70,28.0,28.0739,2.55,2.3122
71,28.0,28.0756,2.55,2.3106
72,28.0,28.0774,2.55,2.309
73,28.0,28.0791,2.55,2.3074
74,28.0,28.0809,2.55,2.3058
75,28.0,28.0826,2.55,2.3043
76,28.0,28.0844,2.55,2.3027
77,28.0,28.0862,2.55,2.3011
78,28.0,28.0881,2.55,2.2996
79,28.0,28.0899,2.55,2.2981
80,28.0,28.0917,2.55,2.2966
81,28.0,28.0936,2.55,2.2951
82,28.0,28.0955,2.55,2.2936
83,28.0,28.0974,2.55,2.2921
84,28.0,28.0993,2.55,2.2906
85,28.0,28.1012,2.55,2.2892
86,28.0,28.1032,2.55,2.2877
87,28.0,28.1051,2.55,2.2863
88,28.0,28.1071,2.55,2.2849
89,28.0,28.1091,2.55,2.2834
90,28.0,28.1111,2.55,2.282
91,28.0,28.1131,2.55,2.2806
92,28.0,28.1151,2.55,2.2792
93,28.0,28.1171,2.55,2.2779
94,28.0,28.1192,2.55,2.2765
95,28.0,28.1212,2.55,2.2751
96,28.0,28.1233,2.55,2.2738
97,28.0,28.1254,2.55,2.2724
98,28.0,28.1275,2.55,2.2711
99,28.0,28.1296,2.55,2.2697
100,28.0,28.1317,2.55,2.2684
101,28.0,28.1338,2.55,2.2671
102,28.0,28.136,2.55,2.2658
103,28.0,28.1381,2.55,2.2645
104,28.0,28.1403,2.55,2.2632
105,28.0,28.1425,2.55,2.2619
106,28.0,28.1447,2.55,2.2606
107,28.0,28.1469,2.55,2.2593
108,28.0,28.1491,2.55,2.2581
109,28.0,28.1513,2.55,2.2568
110,28.0,28.1535,2.55,2.2556
111,28.0,28.1558,2.55,2.2543
112,28.0,28.158,2.55,2.2531
113,28.0,28.1603,2.55,2.2519
