time_s,T_center,T_surface,C_center,C_surface
127,28.0003,28.2613,2.5500,2.2132
128,28.0004,28.2643,2.5500,2.2120
129,28.0004,28.2673,2.5500,2.2107
130,28.0004,28.2703,2.5500,2.2095
131,28.0004,28.2732,2.5500,2.2083
132,28.0005,28.2762,2.5500,2.2071
133,28.0005,28.2792,2.5500,2.2059
134,28.0005,28.2822,2.5500,2.2047
135,28.0005,28.2852,2.5500,2.2035
136,28.0006,28.2882,2.5500,2.2023
137,28.0006,28.2912,2.5500,2.2011
138,28.0006,28.2942,2.5500,2.1999
139,28.0006,28.2972,2.5500,2.1987
140,28.0007,28.3002,2.5500,2.1976
141,28.0007,28.3032,2.5500,2.1964
142,28.0007,28.3062,2.5500,2.1952
143,28.0008,28.3092,2.5500,2.1941
144,28.0008,28.3122,2.5500,2.1929
145,28.0009,28.3152,2.5500,2.1918
146,28.0009,28.3183,2.5500,2.1906
147,28.0009,28.3213,2.5500,2.1895
148,28.0010,28.3243,2.5500,2.1884
149,28.0010,28.3273,2.5500,2.1872
150,28.0011,28.3304,2.5500,2.1861
151,28.0011,28.3334,2.5500,2.1850
152,28.0012,28.3365,2.5500,2.1839
153,28.0012,28.3395,2.5500,2.1828
154,28.0013,28.3426,2.5500,2.1817
155,28.0013,28.3456,2.5500,2.1805
156,28.0014,28.3487,2.5500,2.1794
157,28.0014,28.3517,2.5500,2.1784
158,28.0015,28.3548,2.5500,2.1773
159,28.0015,28.3579,2.5500,2.1762
160,28.0016,28.3610,2.5500,2.1751
161,28.0017,28.3640,2.5500,2.1740
162,28.0017,28.3671,2.5500,2.1729
163,28.0018,28.3702,2.5500,2.1719
164,28.0019,28.3733,2.5500,2.1708
165,28.0019,28.3764,2.5500,2.1697
166,28.0020,28.3795,2.5500,2.1687
167,28.0021,28.3826,2.5500,2.1676
168,28.0022,28.3857,2.5500,2.1666
169,28.0022,28.3888,2.5500,2.1655
170,28.0023,28.3920,2.5500,2.1645
171,28.0024,28.3951,2.5500,2.1634
172,28.0025,28.3982,2.5500,2.1624
173,28.0026,28.4014,2.5500,2.1614
174,28.0027,28.4045,2.5500,2.1603
175,28.0028,28.4077,2.5500,2.1593
176,28.0028,28.4108,2.5500,2.1583
177,28.0029,28.4140,2.5500,2.1573
178,28.0030,28.4171,2.5500,2.1563
179,28.0031,28.4203,2.5500,2.1553
180,28.0032,28.4235,2.5500,2.1542
181,28.0034,28.4266,2.5500,2.1532
182,28.0035,28.4297,2.5500,2.1522
183,28.0036,28.4328,2.5500,2.1512
184,28.0037,28.4358,2.5500,2.1502
185,28.0038,28.4389,2.5500,2.1493
186,28.0039,28.4419,2.5500,2.1483
187,28.0040,28.4449,2.5500,2.1473
188,28.0042,28.4479,2.5500,2.1463
189,28.0043,28.4509,2.5500,2.1453
190,28.0044,28.4539,2.5500,2.1443
191,28.0045,28.4569,2.5500,2.1434
192,28.0047,28.4599,2.5500,2.1424
193,28.0048,28.4629,2.5500,2.1414
194,28.0050,28.4659,2.5500,2.1405
195,28.0051,28.4689,2.5500,2.1395
196,28.0052,28.4718,2.5500,2.1385
197,28.0054,28.4748,2.5500,2.1376
198,28.0055,28.4778,2.5500,2.1366
199,28.0057,28.4807,2.5500,2.1357
200,28.0058,28.4837,2.5500,2.1347
201,28.0060,28.4867,2.5500,2.1338
202,28.0062,28.4896,2.5500,2.1329
203,28.0063,28.4926,2.5500,2.1319
204,28.0065,28.4955,2.5500,2.1310
205,28.0067,28.4985,2.5500,2.1300
206,28.0069,28.5014,2.5500,2.1291
207,28.0070,28.5044,2.5500,2.1282
208,28.0072,28.5073,2.5500,2.1273
209,28.0074,28.5103,2.5500,2.1263
210,28.0076,28.5132,2.5500,2.1254
211,28.0078,28.5162,2.5500,2.1245
212,28.0080,28.5191,2.5500,2.1236
213,28.0082,28.5221,2.5500,2.1227
214,28.0084,28.5250,2.5500,2.1218
215,28.0086,28.5280,2.5500,2.1209
216,28.0088,28.5309,2.5500,2.1200
217,28.0090,28.5338,2.5500,2.1191
218,28.0092,28.5368,2.5500,2.1182
219,28.0094,28.5397,2.5500,2.1173
220,28.0097,28.5427,2.5500,2.1164
221,28.0099,28.5456,2.5500,2.1155
222,28.0101,28.5486,2.5500,2.1146
223,28.0104,28.5515,2.5500,2.1137
224,28.0106,28.5544,2.5500,2.1128
225,28.0108,28.5574,2.5500,2.1119
226,28.0111,28.5603,2.5500,2.1111
227,28.0113,28.5633,2.5500,2.1102
228,28.0116,28.5662,2.5500,2.1093
229,28.0118,28.5692,2.5500,2.1084
230,28.0121,28.5721,2.5500,2.1076
231,28.0124,28.5751,2.5500,2.1067
232,28.0126,28.5780,2.5500,2.1058
233,28.0129,28.5810,2.5500,2.1050
234,28.0132,28.5839,2.5500,2.1041
235,28.0135,28.5869,2.5500,2.1033
236,28.0137,28.5898,2.5500,2.1024
237,28.0140,28.5928,2.5500,2.1016
238,28.0143,28.5957,2.5500,2.1007
239,28.0146,28.5987,2.5500,2.0999
240,28.0149,28.6016,2.5500,2.0990
241,28.0152,28.6047,2.5500,2.0982
242,28.0155,28.6079,2.5500,2.0973
243,28.0158,28.6113,2.5500,2.0965
244,28.0161,28.6147,2.5500,2.0956
245,28.0165,28.6181,2.5500,2.0948
246,28.0168,28.6216,2.5500,2.0940
247,28.0171,28.6251,2.5500,2.0931
248,28.0175,28.6287,2.5500,2.0923
249,28.0178,28.6323,2.5500,2.0915
250,28.0181,28.6360,2.5500,2.0907
251,28.0185,28.6397,2.5500,2.0898
252,28.0188,28.6434,2.5500,2.0890
253,28.0192,28.6472,2.5500,2.0882
254,28.0195,28.6510,2.5500,2.0874
255,28.0199,28.6548,2.5500,2.0865
256,28.0203,28.6587,2.5500,2.0857
257,28.0206,28.6626,2.5500,2.0849
258,28.0210,28.6665,2.5500,2.0841
259,28.0214,28.6704,2.5500,2.0833
260,28.0218,28.6744,2.5500,2.0825
261,28.0222,28.6783,2.5500,2.0817
262,28.0226,28.6823,2.5500,2.0809
263,28.0230,28.6864,2.5500,2.0801
264,28.0234,28.6904,2.5500,2.0793
265,28.0238,28.6945,2.5500,2.0785
266,28.0242,28.6986,2.5500,2.0777
267,28.0246,28.7027,2.5500,2.0769
