t_h,TR,T_inf,theta_meas,theta_qs,T_ad
15.3167,50.1728,50.0000,+0.17283,+0.06293,152.35
15.3333,50.1725,50.0000,+0.17251,+0.06291,152.37
15.3500,50.1722,50.0000,+0.17219,+0.06289,152.40
15.3667,50.1719,50.0000,+0.17187,+0.06287,152.42
15.3833,50.1716,50.0000,+0.17156,+0.06285,152.45
15.4000,50.1712,50.0000,+0.17124,+0.06284,152.47
15.4167,50.1709,50.0000,+0.17094,+0.06282,152.50
15.4333,50.1706,50.0000,+0.17063,+0.06280,152.52
15.4500,50.1703,50.0000,+0.17032,+0.06278,152.55
15.4667,50.1700,50.0000,+0.17002,+0.06277,152.57
15.4833,50.1697,50.0000,+0.16972,+0.06275,152.59
15.5000,50.1694,50.0000,+0.16942,+0.05238,152.62
15.5167,50.1671,50.0000,+0.16705,+0.04170,152.64
15.5333,50.1651,50.0000,+0.16509,+0.04169,152.65
15.5500,50.1633,50.0000,+0.16334,+0.04199,152.67
15.5667,50.1617,50.0000,+0.16175,+0.04166,152.69
15.5833,50.1603,50.0000,+0.16028,+0.04165,152.70
15.6000,50.1589,50.0000,+0.15891,+0.04195,152.72
15.6167,50.1576,50.0000,+0.15764,+0.04162,152.74
15.6333,50.1565,50.0000,+0.15645,+0.04161,152.75
15.6500,50.1553,50.0000,+0.15534,+0.04191,152.77
15.6667,50.1543,50.0000,+0.15429,+0.04159,152.79
15.6833,50.1533,50.0000,+0.15331,+0.04157,152.80
15.7000,50.1524,50.0000,+0.15238,+0.04187,152.82
15.7167,50.1515,50.0000,+0.15151,+0.04155,152.84
15.7333,50.1507,50.0000,+0.15068,+0.04154,152.85
15.7500,50.1499,50.0000,+0.14990,+0.04184,152.87
15.7667,50.1492,50.0000,+0.14917,+0.04151,152.89
15.7833,50.1485,50.0000,+0.14847,+0.04150,152.90
15.8000,50.1478,50.0000,+0.14780,+0.04180,152.92
15.8167,50.1472,50.0000,+0.14717,+0.04148,152.94
15.8333,50.1466,50.0000,+0.14657,+0.04147,152.95
15.8500,50.1460,50.0000,+0.14599,+0.04177,152.97
15.8667,50.1454,50.0000,+0.14545,+0.04145,152.99
15.8833,50.1449,50.0000,+0.14492,+0.04143,153.00
15.9000,50.1444,50.0000,+0.14442,+0.04173,153.02
15.9167,50.1439,50.0000,+0.14393,+0.04141,153.04
15.9333,50.1435,50.0000,+0.14347,+0.04140,153.05
15.9500,50.1430,50.0000,+0.14302,+0.04170,153.07
15.9667,50.1426,50.0000,+0.14259,+0.04138,153.09
15.9833,50.1422,50.0000,+0.14217,+0.04137,153.10
16.0000,50.1418,50.0000,+0.14177,+0.04167,153.12
16.0167,50.1414,50.0000,+0.14138,+0.04135,153.14
16.0333,50.1410,50.0000,+0.14100,+0.04134,153.15
16.0500,50.1406,50.0000,+0.14063,+0.04164,153.17
16.0667,50.1403,50.0000,+0.14027,+0.04131,153.19
16.0833,50.1399,50.0000,+0.13992,+0.04130,153.20
16.1000,50.1396,50.0000,+0.13958,+0.04160,153.22
16.1167,50.1392,50.0000,+0.13925,+0.04128,153.24
16.1333,50.1389,50.0000,+0.13892,+0.04127,153.25
16.1500,50.1386,50.0000,+0.13860,+0.04157,153.27
16.1667,50.1383,50.0000,+0.13829,+0.04125,153.29
16.1833,50.1380,50.0000,+0.13798,+0.04124,153.30
16.2000,50.1377,50.0000,+0.13768,+0.04154,153.32
16.2167,50.1374,50.0000,+0.13738,+0.04122,153.34
16.2333,50.1371,50.0000,+0.13709,+0.04121,153.35
16.2500,50.1368,50.0000,+0.13680,+0.04151,153.37
16.2667,50.1365,50.0000,+0.13652,+0.04119,153.39
16.2833,50.1362,50.0000,+0.13624,+0.04118,153.40
16.3000,50.1360,50.0000,+0.13596,+0.04148,153.42
16.3167,50.1357,50.0000,+0.13569,+0.04116,153.44
16.3333,50.1354,50.0000,+0.13542,+0.04115,153.46
16.3500,50.1352,50.0000,+0.13516,+0.04144,153.47
16.3667,50.1349,50.0000,+0.13489,+0.04113,153.49
16.3833,50.1346,50.0000,+0.13463,+0.04111,153.51
16.4000,50.1344,50.0000,+0.13437,+0.04141,153.52
16.4167,50.1341,50.0000,+0.13412,+0.04109,153.54
16.4333,50.1339,50.0000,+0.13386,+0.04108,153.56
16.4500,50.1336,50.0000,+0.13361,+0.04138,153.57
16.4667,50.1334,50.0000,+0.13336,+0.04106,153.59
16.4833,50.1331,50.0000,+0.13311,+0.04105,153.61
16.5000,50.1329,50.0000,+0.13287,+0.03086,153.62
16.5167,50.1305,50.0000,+0.13055,+0.02067,153.63
16.5333,50.1286,50.0000,+0.12864,+0.02066,153.64
16.5500,50.1270,50.0000,+0.12695,+0.02035,153.65
16.5667,50.1254,50.0000,+0.12542,+0.02065,153.66
16.5833,50.1240,50.0000,+0.12401,+0.02065,153.67
16.6000,50.1227,50.0000,+0.12271,+0.02033,153.67
16.6167,50.1215,50.0000,+0.12150,+0.02064,153.68
16.6333,50.1204,50.0000,+0.12037,+0.02063,153.69
16.6500,50.1193,50.0000,+0.11932,+0.02032,153.70
16.6667,50.1183,50.0000,+0.11833,+0.02062,153.71
16.6833,50.1174,50.0000,+0.11741,+0.02061,153.72
16.7000,50.1165,50.0000,+0.11655,+0.02030,153.72
16.7167,50.1157,50.0000,+0.11573,+0.02060,153.73
16.7333,50.1150,50.0000,+0.11497,+0.02060,153.74
16.7500,50.1143,50.0000,+0.11425,+0.02029,153.75
16.7667,50.1136,50.0000,+0.11358,+0.02059,153.76
16.7833,50.1129,50.0000,+0.11294,+0.02058,153.77
16.8000,50.1123,50.0000,+0.11233,+0.02027,153.77
16.8167,50.1118,50.0000,+0.11176,+0.02057,153.78
16.8333,50.1112,50.0000,+0.11122,+0.02057,153.79
16.8500,50.1107,50.0000,+0.11070,+0.02026,153.80
16.8667,50.1102,50.0000,+0.11021,+0.02056,153.81
16.8833,50.1097,50.0000,+0.10974,+0.02055,153.82
16.9000,50.1093,50.0000,+0.10930,+0.02024,153.82
16.9167,50.1089,50.0000,+0.10887,+0.02054,153.83
16.9333,50.1085,50.0000,+0.10846,+0.02054,153.84
16.9500,50.1081,50.0000,+0.10807,+0.02023,153.85
16.9667,50.1077,50.0000,+0.10769,+0.02053,153.86
16.9833,50.1073,50.0000,+0.10733,+0.02052,153.87
17.0000,50.1070,50.0000,+0.10697,+0.03063,153.88
17.0167,50.1087,50.0000,+0.10871,+0.04072,153.89
17.0333,50.1100,50.0000,+0.11004,+0.04072,153.91
17.0500,50.1112,50.0000,+0.11117,+0.04102,153.93
17.0667,50.1122,50.0000,+0.11215,+0.04070,153.94
17.0833,50.1130,50.0000,+0.11302,+0.04069,153.96
17.1000,50.1138,50.0000,+0.11379,+0.04099,153.98
17.1167,50.1145,50.0000,+0.11448,+0.04068,153.99
17.1333,50.1151,50.0000,+0.11509,+0.04067,154.01
17.1500,50.1156,50.0000,+0.11564,+0.04097,154.03
17.1667,50.1161,50.0000,+0.11612,+0.04065,154.04
17.1833,50.1165,50.0000,+0.11655,+0.04064,154.06
17.2000,50.1169,50.0000,+0.11692,+0.04094,154.08
17.2167,50.1173,50.0000,+0.11725,+0.04063,154.09
17.2333,50.1175,50.0000,+0.11754,+0.04062,154.11
17.2500,50.1178,50.0000,+0.11779,+0.04092,154.13
17.2667,50.1180,50.0000,+0.11800,+0.04060,154.15
17.2833,50.1182,50.0000,+0.11818,+0.04059,154.16
17.3000,50.1183,50.0000,+0.11833,+0.04089,154.18
17.3167,50.1184,50.0000,+0.11845,+0.04058,154.20
17.3333,50.1185,50.0000,+0.11854,+0.04057,154.21
17.3500,50.1186,50.0000,+0.11861,+0.04087,154.23
17.3667,50.1187,50.0000,+0.11866,+0.04055,154.25
17.3833,50.1187,50.0000,+0.11869,+0.04054,154.26
17.4000,50.1187,50.0000,+0.11870,+0.04084,154.28
17.4167,50.1187,50.0000,+0.11870,+0.04053,154.30
17.4333,50.1187,50.0000,+0.11868,+0.04052,154.31
17.4500,50.1186,50.0000,+0.11865,+0.04081,154.33
17.4667,50.1186,50.0000,+0.11860,+0.04050,154.35
17.4833,50.1185,50.0000,+0.11854,+0.04049,154.37
17.5000,50.1185,50.0000,+0.11847,+0.04079,154.38
17.5167,50.1184,50.0000,+0.11839,+0.04048,154.40
17.5333,50.1183,50.0000,+0.11831,+0.04047,154.42
17.5500,50.1182,50.0000,+0.11821,+0.04076,154.43
17.5667,50.1181,50.0000,+0.11811,+0.04045,154.45
17.5833,50.1180,50.0000,+0.11800,+0.04044,154.47
17.6000,50.1179,50.0000,+0.11789,+0.04074,154.48
17.6167,50.1178,50.0000,+0.11777,+0.04042,154.50
17.6333,50.1176,50.0000,+0.11764,+0.04042,154.52
17.6500,50.1175,50.0000,+0.11751,+0.04071,154.53
17.6667,50.1174,50.0000,+0.11738,+0.04040,154.55
17.6833,50.1172,50.0000,+0.11724,+0.04039,154.57
17.7000,50.1171,50.0000,+0.11709,+0.04069,154.59
17.7167,50.1170,50.0000,+0.11695,+0.04037,154.60
17.7333,50.1168,50.0000,+0.11680,+0.04037,154.62
17.7500,50.1167,50.0000,+0.11665,+0.04066,154.64
17.7667,50.1165,50.0000,+0.11650,+0.04035,154.65
17.7833,50.1163,50.0000,+0.11635,+0.04034,154.67
17.8000,50.1162,50.0000,+0.11619,+0.04064,154.69
17.8167,50.1160,50.0000,+0.11603,+0.04032,154.70
17.8333,50.1159,50.0000,+0.11587,+0.04032,154.72
17.8500,50.1157,50.0000,+0.11571,+0.04061,154.74
17.8667,50.1155,50.0000,+0.11555,+0.04030,154.76
17.8833,50.1154,50.0000,+0.11538,+0.04029,154.77
17.9000,50.1152,50.0000,+0.11522,+0.04059,154.79
17.9167,50.1151,50.0000,+0.11505,+0.04027,154.81
17.9333,50.1149,50.0000,+0.11489,+0.04027,154.82
17.9500,50.1147,50.0000,+0.11472,+0.04056,154.84
17.9667,50.1146,50.0000,+0.11456,+0.04025,154.86
17.9833,50.1144,50.0000,+0.11439,+0.04024,154.87
18.0000,50.1142,50.0000,+0.11422,+0.03025,154.89
18.0167,50.1120,50.0000,+0.11198,+0.02026,154.90
18.0333,50.1102,50.0000,+0.11015,+0.02026,154.91
18.0500,50.1085,50.0000,+0.10854,+0.01995,154.92
18.0667,50.1071,50.0000,+0.10709,+0.02025,154.93
18.0833,50.1058,50.0000,+0.10576,+0.02024,154.93
18.1000,50.1045,50.0000,+0.10454,+0.01994,154.94
18.1167,50.1034,50.0000,+0.10341,+0.02023,154.95
18.1333,50.1024,50.0000,+0.10236,+0.02023,154.96
18.1500,50.1014,50.0000,+0.10139,+0.01992,154.97
18.1667,50.1005,50.0000,+0.10048,+0.02022,154.98
18.1833,50.0996,50.0000,+0.09963,+0.02022,154.98
18.2000,50.0988,50.0000,+0.09885,+0.01991,154.99
18.2167,50.0981,50.0000,+0.09811,+0.02021,155.00
18.2333,50.0974,50.0000,+0.09742,+0.02020,155.01
18.2500,50.0968,50.0000,+0.09678,+0.01990,155.02
18.2667,50.0962,50.0000,+0.09617,+0.02019,155.03
18.2833,50.0956,50.0000,+0.09560,+0.02019,155.04
18.3000,50.0951,50.0000,+0.09507,+0.01989,155.04
18.3167,50.0946,50.0000,+0.09456,+0.02018,155.05
18.3333,50.0941,50.0000,+0.09409,+0.02018,155.06
18.3500,50.0936,50.0000,+0.09364,+0.01987,155.07
18.3667,50.0932,50.0000,+0.09322,+0.02017,155.08
18.3833,50.0928,50.0000,+0.09281,+0.02017,155.09
18.4000,50.0924,50.0000,+0.09243,+0.01986,155.10
18.4167,50.0921,50.0000,+0.09207,+0.02016,155.10
18.4333,50.0917,50.0000,+0.09172,+0.02015,155.11
18.4500,50.0914,50.0000,+0.09139,+0.01985,155.12
18.4667,50.0911,50.0000,+0.09107,+0.02015,155.13
18.4833,50.0908,50.0000,+0.09077,+0.02014,155.14
18.5000,50.0905,50.0000,+0.09048,+0.01984,155.15
18.5167,50.0902,50.0000,+0.09020,+0.02013,155.16
18.5333,50.0899,50.0000,+0.08993,+0.02013,155.16
18.5500,50.0897,50.0000,+0.08968,+0.01983,155.17
18.5667,50.0894,50.0000,+0.08943,+0.02012,155.18
18.5833,50.0892,50.0000,+0.08918,+0.02012,155.19
18.6000,50.0889,50.0000,+0.08895,+0.01982,155.20
18.6167,50.0887,50.0000,+0.08872,+0.02011,155.21
18.6333,50.0885,50.0000,+0.08850,+0.02011,155.21
18.6500,50.0883,50.0000,+0.08829,+0.01980,155.22
18.6667,50.0881,50.0000,+0.08808,+0.02010,155.23
18.6833,50.0879,50.0000,+0.08787,+0.02010,155.24
18.7000,50.0877,50.0000,+0.08767,+0.01979,155.25
18.7167,50.0875,50.0000,+0.08748,+0.02009,155.26
18.7333,50.0873,50.0000,+0.08729,+0.02009,155.27
18.7500,50.0871,50.0000,+0.08710,+0.01978,155.27
18.7667,50.0869,50.0000,+0.08691,+0.02008,155.28
18.7833,50.0867,50.0000,+0.08673,+0.02007,155.29
18.8000,50.0866,50.0000,+0.08655,+0.01977,155.30
18.8167,50.0864,50.0000,+0.08638,+0.02007,155.31
18.8333,50.0862,50.0000,+0.08620,+0.02006,155.32
18.8500,50.0860,50.0000,+0.08603,+0.01976,155.33
18.8667,50.0859,50.0000,+0.08586,+0.02006,155.33
18.8833,50.0857,50.0000,+0.08570,+0.02005,155.34
18.9000,50.0855,50.0000,+0.08553,+0.01975,155.35
18.9167,50.0854,50.0000,+0.08537,+0.02004,155.36
18.9333,50.0852,50.0000,+0.08521,+0.02004,155.37
18.9500,50.0851,50.0000,+0.08505,+0.01974,155.38
18.9667,50.0849,50.0000,+0.08489,+0.02003,155.39
18.9833,50.0847,50.0000,+0.08474,+0.02003,155.39
19.0000,50.0846,50.0000,+0.08458,+0.01973,155.40
19.0167,50.0844,50.0000,+0.08443,+0.02002,155.41
19.0333,50.0843,50.0000,+0.08427,+0.02002,155.42
19.0500,50.0841,50.0000,+0.08412,+0.01972,155.43
19.0667,50.0840,50.0000,+0.08397,+0.02001,155.44
19.0833,50.0838,50.0000,+0.08382,+0.02001,155.45
19.1000,50.0837,50.0000,+0.08367,+0.01971,155.45
19.1167,50.0835,50.0000,+0.08353,+0.02000,155.46
19.1333,50.0834,50.0000,+0.08338,+0.02000,155.47
19.1500,50.0832,50.0000,+0.08323,+0.01970,155.48
19.1667,50.0831,50.0000,+0.08309,+0.01999,155.49
19.1833,50.0829,50.0000,+0.08295,+0.01999,155.50
19.2000,50.0828,50.0000,+0.08280,+0.01969,155.51
19.2167,50.0827,50.0000,+0.08266,+0.01998,155.51
19.2333,50.0825,50.0000,+0.08252,+0.01998,155.52
19.2500,50.0824,50.0000,+0.08237,+0.01968,155.53
19.2667,50.0822,50.0000,+0.08223,+0.01997,155.54
19.2833,50.0821,50.0000,+0.08209,+0.01997,155.55
19.3000,50.0820,50.0000,+0.08195,+0.01967,155.56
19.3167,50.0818,50.0000,+0.08181,+0.01996,155.57
19.3333,50.0817,50.0000,+0.08167,+0.01996,155.57
19.3500,50.0815,50.0000,+0.08154,+0.01966,155.58
19.3667,50.0814,50.0000,+0.08140,+0.01995,155.59
19.3833,50.0813,50.0000,+0.08126,+0.01995,155.60
19.4000,50.0811,50.0000,+0.08113,+0.01965,155.61
19.4167,50.0810,50.0000,+0.08099,+0.01994,155.62
19.4333,50.0809,50.0000,+0.08085,+0.01994,155.63
19.4500,50.0807,50.0000,+0.08072,+0.01964,155.63
19.4667,50.0806,50.0000,+0.08058,+0.01993,155.64
19.4833,50.0804,50.0000,+0.08045,+0.01993,155.65
19.5000,50.0803,50.0000,+0.08031,+0.01963,155.66
19.5167,50.0802,50.0000,+0.08018,+0.01992,155.67
19.5333,50.0800,50.0000,+0.08005,+0.01992,155.68
19.5500,50.0799,50.0000,+0.07992,+0.01962,155.69
19.5667,50.0798,50.0000,+0.07979,+0.01991,155.69
19.5833,50.0797,50.0000,+0.07965,+0.01991,155.70
19.6000,50.0795,50.0000,+0.07952,+0.01961,155.71
19.6167,50.0794,50.0000,+0.07939,+0.01990,155.72
19.6333,50.0793,50.0000,+0.07926,+0.01990,155.73
19.6500,50.0791,50.0000,+0.07913,+0.01960,155.74
19.6667,50.0790,50.0000,+0.07900,+0.01989,155.75
19.6833,50.0789,50.0000,+0.07887,+0.01989,155.75
19.7000,50.0787,50.0000,+0.07874,+0.01959,155.76
19.7167,50.0786,50.0000,+0.07861,+0.01988,155.77
19.7333,50.0785,50.0000,+0.07849,+0.01988,155.78
19.7500,50.0784,50.0000,+0.07836,+0.01958,155.79
19.7667,50.0782,50.0000,+0.07823,+0.01987,155.80
19.7833,50.0781,50.0000,+0.07810,+0.01987,155.81
19.8000,50.0780,50.0000,+0.07798,+0.01957,155.81
19.8167,50.0778,50.0000,+0.07785,+0.01986,155.82
19.8333,50.0777,50.0000,+0.07772,+0.01986,155.83
19.8500,50.0776,50.0000,+0.07760,+0.01956,155.84
19.8667,50.0775,50.0000,+0.07747,+0.01985,155.85
19.8833,50.0773,50.0000,+0.07735,+0.01985,155.86
19.9000,50.0772,50.0000,+0.07722,+0.01955,155.87
19.9167,50.0771,50.0000,+0.07710,+0.01984,155.87
19.9333,50.0770,50.0000,+0.07698,+0.01984,155.88
19.9500,50.0769,50.0000,+0.07685,+0.01954,155.89
19.9667,50.0767,50.0000,+0.07673,+0.01983,155.90
19.9833,50.0766,50.0000,+0.07661,+0.01983,155.91
20.0000,50.0765,50.0000,+0.07649,+0.01953,155.92
20.0167,50.0764,50.0000,+0.07637,+0.01982,155.93
20.0333,50.0762,50.0000,+0.07624,+0.01982,155.93
20.0500,50.0761,50.0000,+0.07612,+0.01952,155.94
20.0667,50.0760,50.0000,+0.07600,+0.01981,155.95
20.0833,50.0759,50.0000,+0.07588,+0.01981,155.96
20.1000,50.0758,50.0000,+0.07576,+0.01951,155.97
20.1167,50.0756,50.0000,+0.07564,+0.01980,155.98
20.1333,50.0755,50.0000,+0.07552,+0.01980,155.99
20.1500,50.0754,50.0000,+0.07541,+0.01950,155.99
20.1667,50.0753,50.0000,+0.07529,+0.01979,156.00
20.1833,50.0752,50.0000,+0.07517,+0.01979,156.01
20.2000,50.0751,50.0000,+0.07505,+0.01949,156.02
20.2167,50.0749,50.0000,+0.07493,+0.01979,156.03
20.2333,50.0748,50.0000,+0.07482,+0.01978,156.04
20.2500,50.0747,50.0000,+0.07470,+0.01948,156.05
20.2667,50.0746,50.0000,+0.07458,+0.01978,156.05
20.2833,50.0745,50.0000,+0.07447,+0.01977,156.06
20.3000,50.0744,50.0000,+0.07435,+0.01948,156.07
20.3167,50.0742,50.0000,+0.07424,+0.01977,156.08
20.3333,50.0741,50.0000,+0.07412,+0.01976,156.09
20.3500,50.0740,50.0000,+0.07401,+0.01947,156.10
20.3667,50.0739,50.0000,+0.07389,+0.01976,156.11
20.3833,50.0738,50.0000,+0.07378,+0.01976,156.11
20.4000,50.0737,50.0000,+0.07366,+0.01946,156.12
20.4167,50.0736,50.0000,+0.07355,+0.01975,156.13
20.4333,50.0734,50.0000,+0.07344,+0.01975,156.14
20.4500,50.0733,50.0000,+0.07333,+0.01945,156.15
20.4667,50.0732,50.0000,+0.07321,+0.01974,156.16
20.4833,50.0731,50.0000,+0.07310,+0.01974,156.17
20.5000,50.0730,50.0000,+0.07299,+0.01944,156.17
20.5167,50.0729,50.0000,+0.07288,+0.01973,156.18
20.5333,50.0728,50.0000,+0.07277,+0.01973,156.19
20.5500,50.0727,50.0000,+0.07266,+0.01943,156.20
20.5667,50.0725,50.0000,+0.07254,+0.01972,156.21
20.5833,50.0724,50.0000,+0.07243,+0.01972,156.22
20.6000,50.0723,50.0000,+0.07232,+0.01942,156.23
20.6167,50.0722,50.0000,+0.07222,+0.01971,156.24
20.6333,50.0721,50.0000,+0.07211,+0.01971,156.24
20.6500,50.0720,50.0000,+0.07200,+0.01941,156.25
20.6667,50.0719,50.0000,+0.07189,+0.01971,156.26
20.6833,50.0718,50.0000,+0.07178,+0.01970,156.27
20.7000,50.0717,50.0000,+0.07167,+0.01941,156.28
20.7167,50.0716,50.0000,+0.07156,+0.01970,156.29
20.7333,50.0715,50.0000,+0.07146,+0.01969,156.30
20.7500,50.0714,50.0000,+0.07135,+0.01940,156.30
20.7667,50.0712,50.0000,+0.07124,+0.01969,156.31
20.7833,50.0711,50.0000,+0.07114,+0.01969,156.32
20.8000,50.0710,50.0000,+0.07103,+0.01939,156.33
20.8167,50.0709,50.0000,+0.07093,+0.01968,156.34
20.8333,50.0708,50.0000,+0.07082,+0.01968,156.35
20.8500,50.0707,50.0000,+0.07071,+0.01938,156.36
20.8667,50.0706,50.0000,+0.07061,+0.01967,156.36
20.8833,50.0705,50.0000,+0.07050,+0.01967,156.37
20.9000,50.0704,50.0000,+0.07040,+0.01937,156.38
20.9167,50.0703,50.0000,+0.07030,+0.01966,156.39
20.9333,50.0702,50.0000,+0.07019,+0.01966,156.40
20.9500,50.0701,50.0000,+0.07009,+0.01936,156.41
20.9667,50.0700,50.0000,+0.06999,+0.01965,156.42
20.9833,50.0699,50.0000,+0.06988,+0.01965,156.43
21.0000,50.0698,50.0000,+0.06978,+0.01936,156.43
21.0167,50.0697,50.0000,+0.06968,+0.01965,156.44
21.0333,50.0696,50.0000,+0.06957,+0.01964,156.45
21.0500,50.0695,50.0000,+0.06947,+0.01935,156.46
21.0667,50.0694,50.0000,+0.06937,+0.01964,156.47
21.0833,50.0693,50.0000,+0.06927,+0.01963,156.48
21.1000,50.0692,50.0000,+0.06917,+0.01934,156.49
21.1167,50.0691,50.0000,+0.06907,+0.01963,156.49
21.1333,50.0690,50.0000,+0.06897,+0.01963,156.50
21.1500,50.0689,50.0000,+0.06887,+0.01933,156.51
21.1667,50.0688,50.0000,+0.06877,+0.01962,156.52
21.1833,50.0687,50.0000,+0.06867,+0.01962,156.53
21.2000,50.0686,50.0000,+0.06857,+0.01932,156.54
21.2167,50.0685,50.0000,+0.06847,+0.01961,156.55
21.2333,50.0684,50.0000,+0.06837,+0.01961,156.55
21.2500,50.0683,50.0000,+0.06827,+0.01931,156.56
21.2667,50.0682,50.0000,+0.06817,+0.01960,156.57
21.2833,50.0681,50.0000,+0.06808,+0.01960,156.58
21.3000,50.0680,50.0000,+0.06798,+0.01931,156.59
21.3167,50.0679,50.0000,+0.06788,+0.01960,156.60
21.3333,50.0678,50.0000,+0.06778,+0.01959,156.61
21.3500,50.0677,50.0000,+0.06769,+0.01930,156.62
21.3667,50.0676,50.0000,+0.06759,+0.01959,156.62
21.3833,50.0675,50.0000,+0.06749,+0.01959,156.63
21.4000,50.0674,50.0000,+0.06740,+0.01929,156.64
21.4167,50.0673,50.0000,+0.06730,+0.01958,156.65
21.4333,50.0672,50.0000,+0.06721,+0.01958,156.66
21.4500,50.0671,50.0000,+0.06711,+0.01928,156.67
21.4667,50.0670,50.0000,+0.06701,+0.01957,156.68
21.4833,50.0669,50.0000,+0.06692,+0.01957,156.68
21.5000,50.0668,50.0000,+0.06683,+0.01928,156.69
21.5167,50.0667,50.0000,+0.06673,+0.01956,156.70
21.5333,50.0666,50.0000,+0.06664,+0.01956,156.71
21.5500,50.0665,50.0000,+0.06654,+0.01927,156.72
21.5667,50.0664,50.0000,+0.06645,+0.01956,156.73
21.5833,50.0664,50.0000,+0.06636,+0.01955,156.74
21.6000,50.0663,50.0000,+0.06626,+0.01926,156.74
21.6167,50.0662,50.0000,+0.06617,+0.01955,156.75
21.6333,50.0661,50.0000,+0.06608,+0.01955,156.76
21.6500,50.0660,50.0000,+0.06598,+0.01925,156.77
21.6667,50.0659,50.0000,+0.06589,+0.01954,156.78
21.6833,50.0658,50.0000,+0.06580,+0.01954,156.79
21.7000,50.0657,50.0000,+0.06571,+0.01924,156.80
21.7167,50.0656,50.0000,+0.06562,+0.01953,156.81
21.7333,50.0655,50.0000,+0.06553,+0.01953,156.81
21.7500,50.0654,50.0000,+0.06544,+0.01924,156.82
21.7667,50.0653,50.0000,+0.06535,+0.01953,156.83
21.7833,50.0653,50.0000,+0.06526,+0.01952,156.84
21.8000,50.0652,50.0000,+0.06517,+0.01923,156.85
21.8167,50.0651,50.0000,+0.06508,+0.01952,156.86
21.8333,50.0650,50.0000,+0.06499,+0.01952,156.87
21.8500,50.0649,50.0000,+0.06490,+0.01922,156.87
21.8667,50.0648,50.0000,+0.06481,+0.01951,156.88
21.8833,50.0647,50.0000,+0.06472,+0.01951,156.89
21.9000,50.0646,50.0000,+0.06463,+0.01921,156.90
21.9167,50.0645,50.0000,+0.06454,+0.01950,156.91
21.9333,50.0645,50.0000,+0.06445,+0.01950,156.92
21.9500,50.0644,50.0000,+0.06437,+0.01921,156.93
21.9667,50.0643,50.0000,+0.06428,+0.01950,156.94
21.9833,50.0642,50.0000,+0.06419,+0.01949,156.94
22.0000,50.0641,50.0000,+0.06410,+0.00960,156.95
22.0167,50.0619,50.0000,+0.06194,-0.00000,156.95
22.0333,50.0602,50.0000,+0.06021,-0.00000,156.95
22.0500,50.0587,50.0000,+0.05870,-0.00000,156.95
22.0667,50.0573,50.0000,+0.05735,-0.00000,156.95
22.0833,50.0561,50.0000,+0.05612,-0.00000,156.95
22.1000,50.0550,50.0000,+0.05501,-0.00000,156.95
22.1167,50.0540,50.0000,+0.05398,-0.00000,156.95
22.1333,50.0530,50.0000,+0.05304,-0.00000,156.95
22.1500,50.0522,50.0000,+0.05218,-0.00000,156.95
22.1667,50.0514,50.0000,+0.05138,-0.00000,156.95
22.1833,50.0506,50.0000,+0.05065,-0.00000,156.95
22.2000,50.0500,50.0000,+0.04997,-0.00000,156.95
22.2167,50.0493,50.0000,+0.04934,-0.00000,156.95
22.2333,50.0488,50.0000,+0.04876,-0.00000,156.95
22.2500,50.0482,50.0000,+0.04822,-0.00000,156.95
22.2667,50.0477,50.0000,+0.04772,-0.00000,156.95
22.2833,50.0473,50.0000,+0.04726,-0.00000,156.95
22.3000,50.0468,50.0000,+0.04683,-0.00000,156.95
22.3167,50.0464,50.0000,+0.04643,-0.00000,156.95
22.3333,50.0461,50.0000,+0.04606,-0.00000,156.95
22.3500,50.0457,50.0000,+0.04572,-0.00000,156.95
22.3667,50.0454,50.0000,+0.04539,-0.00000,156.95
22.3833,50.0451,50.0000,+0.04509,-0.00000,156.95
22.4000,50.0448,50.0000,+0.04481,-0.00000,156.95
22.4167,50.0445,50.0000,+0.04454,-0.00000,156.95
22.4333,50.0443,50.0000,+0.04429,-0.00000,156.95
22.4500,50.0441,50.0000,+0.04406,-0.00000,156.95
22.4667,50.0438,50.0000,+0.04384,-0.00000,156.95
22.4833,50.0436,50.0000,+0.04363,-0.00000,156.95
22.5000,50.0434,50.0000,+0.04343,+0.00956,156.95
22.5167,50.0453,50.0000,+0.04532,+0.01941,156.96
22.5333,50.0468,50.0000,+0.04678,+0.01940,156.97
22.5500,50.0480,50.0000,+0.04803,+0.01911,156.98
22.5667,50.0491,50.0000,+0.04913,+0.01940,156.99
22.5833,50.0501,50.0000,+0.05011,+0.01940,157.00
22.6000,50.0510,50.0000,+0.05100,+0.01911,157.00
22.6167,50.0518,50.0000,+0.05179,+0.01940,157.01
22.6333,50.0525,50.0000,+0.05250,+0.01939,157.02
22.6500,50.0532,50.0000,+0.05315,+0.01910,157.03
22.6667,50.0537,50.0000,+0.05374,+0.01939,157.04
22.6833,50.0543,50.0000,+0.05426,+0.01939,157.05
22.7000,50.0547,50.0000,+0.05474,+0.01910,157.06
22.7167,50.0552,50.0000,+0.05517,+0.01938,157.07
22.7333,50.0556,50.0000,+0.05555,+0.01938,157.07
22.7500,50.0559,50.0000,+0.05590,+0.01909,157.08
22.7667,50.0562,50.0000,+0.05620,+0.01938,157.09
22.7833,50.0565,50.0000,+0.05648,+0.01938,157.10
22.8000,50.0567,50.0000,+0.05673,+0.01909,157.11
