t_h,dT_K
4.8500,-0.035427
4.8667,-0.035303
4.8833,-0.035180
4.9000,-0.035059
4.9167,-0.034937
4.9333,-0.034817
4.9500,-0.034697
4.9667,-0.034578
4.9833,-0.034459
5.0000,-0.034340
5.0167,-0.034229
5.0333,-0.034117
5.0500,-0.034005
5.0667,-0.033894
5.0833,-0.033782
5.1000,-0.033672
5.1167,-0.033562
5.1333,-0.033452
5.1500,-0.033343
5.1667,-0.033235
5.1833,-0.033127
5.2000,-0.033018
5.2167,-0.032912
5.2333,-0.032805
5.2500,-0.032698
5.2667,-0.032592
5.2833,-0.032487
5.3000,-0.032381
5.3167,-0.032277
5.3333,-0.032173
5.3500,-0.032069
5.3667,-0.031965
5.3833,-0.031861
5.4000,-0.031759
5.4167,-0.031657
5.4333,-0.031555
5.4500,-0.031453
5.4667,-0.031352
5.4833,-0.031251
5.5000,-0.031151
5.5167,-0.031046
5.5333,-0.030942
5.5500,-0.030838
5.5667,-0.030735
5.5833,-0.030633
5.6000,-0.030531
5.6167,-0.030429
5.6333,-0.030329
5.6500,-0.030228
5.6667,-0.030127
5.6833,-0.030027
5.7000,-0.029929
5.7167,-0.029829
5.7333,-0.029731
5.7500,-0.029632
5.7667,-0.029535
5.7833,-0.029437
5.8000,-0.029340
5.8167,-0.029243
5.8333,-0.029147
5.8500,-0.029051
5.8667,-0.028955
5.8833,-0.028860
5.9000,-0.028765
5.9167,-0.028672
5.9333,-0.028577
5.9500,-0.028484
5.9667,-0.028390
5.9833,-0.028297
6.0000,-0.028205
6.0167,-0.028106
6.0333,-0.028009
6.0500,-0.027913
6.0667,-0.027818
6.0833,-0.027722
6.1000,-0.027627
6.1167,-0.027532
6.1333,-0.027438
6.1500,-0.027345
6.1667,-0.027251
6.1833,-0.027159
6.2000,-0.027066
6.2167,-0.026974
6.2333,-0.026883
6.2500,-0.026792
6.2667,-0.026700
6.2833,-0.026610
6.3000,-0.026520
6.3167,-0.026430
6.3333,-0.026341
6.3500,-0.026252
6.3667,-0.026163
6.3833,-0.026075
6.4000,-0.025987
6.4167,-0.025899
6.4333,-0.025812
6.4500,-0.025725
6.4667,-0.025638
6.4833,-0.025552
6.5000,-0.025466
6.5167,-0.025381
6.5333,-0.025297
6.5500,-0.025212
6.5667,-0.025129
6.5833,-0.025045
6.6000,-0.024962
6.6167,-0.024879
6.6333,-0.024797
6.6500,-0.024714
6.6667,-0.024632
6.6833,-0.024550
6.7000,-0.024468
6.7167,-0.024388
6.7333,-0.024306
6.7500,-0.024225
6.7667,-0.024146
6.7833,-0.024065
6.8000,-0.023986
6.8167,-0.023905
6.8333,-0.023827
6.8500,-0.023748
6.8667,-0.023669
6.8833,-0.023590
6.9000,-0.023512
6.9167,-0.023434
6.9333,-0.023356
6.9500,-0.023279
6.9667,-0.023201
6.9833,-0.023125
7.0000,-0.023048
7.0167,-0.022969
7.0333,-0.022891
7.0500,-0.022812
7.0667,-0.022734
7.0833,-0.022657
7.1000,-0.022580
7.1167,-0.022503
7.1333,-0.022427
7.1500,-0.022350
7.1667,-0.022274
7.1833,-0.022198
7.2000,-0.022123
7.2167,-0.022048
7.2333,-0.021973
7.2500,-0.021898
7.2667,-0.021823
7.2833,-0.021750
7.3000,-0.021676
7.3167,-0.021602
7.3333,-0.021529
7.3500,-0.021455
7.3667,-0.021383
7.3833,-0.021311
7.4000,-0.021238
7.4167,-0.021167
7.4333,-0.021094
7.4500,-0.021023
7.4667,-0.020952
7.4833,-0.020881
7.5000,-0.020810
7.5167,-0.020735
7.5333,-0.020660
7.5500,-0.020586
7.5667,-0.020512
7.5833,-0.020439
7.6000,-0.020366
7.6167,-0.020293
7.6333,-0.020221
7.6500,-0.020148
7.6667,-0.020077
7.6833,-0.020006
7.7000,-0.019934
7.7167,-0.019864
7.7333,-0.019793
7.7500,-0.019723
7.7667,-0.019654
7.7833,-0.019584
7.8000,-0.019515
7.8167,-0.019446
7.8333,-0.019377
7.8500,-0.019308
7.8667,-0.019240
7.8833,-0.019172
7.9000,-0.019105
7.9167,-0.019037
7.9333,-0.018970
7.9500,-0.018904
7.9667,-0.018836
7.9833,-0.018770
8.0000,-0.018704
8.0167,-0.018640
8.0333,-0.018576
8.0500,-0.018512
8.0667,-0.018448
8.0833,-0.018384
8.1000,-0.018320
8.1167,-0.018257
8.1333,-0.018195
8.1500,-0.018131
8.1667,-0.018068
8.1833,-0.018006
8.2000,-0.017944
8.2167,-0.017882
8.2333,-0.017820
8.2500,-0.017758
8.2667,-0.017697
8.2833,-0.017636
8.3000,-0.017575
8.3167,-0.017515
8.3333,-0.017454
8.3500,-0.017393
8.3667,-0.017333
8.3833,-0.017274
8.4000,-0.017214
8.4167,-0.017154
8.4333,-0.017096
8.4500,-0.017036
8.4667,-0.016978
8.4833,-0.016919
8.5000,-0.016861
8.5167,-0.016800
8.5333,-0.016739
8.5500,-0.016680
8.5667,-0.016620
8.5833,-0.016560
8.6000,-0.016501
8.6167,-0.016443
8.6333,-0.016384
8.6500,-0.016326
8.6667,-0.016267
8.6833,-0.016210
8.7000,-0.016152
8.7167,-0.016094
8.7333,-0.016037
8.7500,-0.015980
8.7667,-0.015923
8.7833,-0.015867
8.8000,-0.015810
8.8167,-0.015755
8.8333,-0.015698
8.8500,-0.015643
8.8667,-0.015588
8.8833,-0.015532
8.9000,-0.015477
8.9167,-0.015422
8.9333,-0.015367
8.9500,-0.015314
8.9667,-0.015259
8.9833,-0.015205
9.0000,-0.015152
9.0167,-0.015099
9.0333,-0.015046
9.0500,-0.014995
9.0667,-0.014942
9.0833,-0.014890
9.1000,-0.014839
9.1167,-0.014786
9.1333,-0.014735
9.1500,-0.014684
9.1667,-0.014632
9.1833,-0.014582
9.2000,-0.014531
9.2167,-0.014481
9.2333,-0.014430
9.2500,-0.014380
9.2667,-0.014330
9.2833,-0.014280
9.3000,-0.014231
9.3167,-0.014181
9.3333,-0.014131
9.3500,-0.014082
9.3667,-0.014034
9.3833,-0.013985
9.4000,-0.013936
9.4167,-0.013888
9.4333,-0.013839
9.4500,-0.013791
9.4667,-0.013743
