t_h,dT_K
21.1167,-0.001685
21.1333,-0.001681
21.1500,-0.001678
21.1667,-0.001674
21.1833,-0.001670
21.2000,-0.001667
21.2167,-0.001663
21.2333,-0.001659
21.2500,-0.001655
21.2667,-0.001652
21.2833,-0.001648
21.3000,-0.001644
21.3167,-0.001641
21.3333,-0.001638
21.3500,-0.001634
21.3667,-0.001630
21.3833,-0.001627
21.4000,-0.001624
21.4167,-0.001620
21.4333,-0.001616
21.4500,-0.001613
21.4667,-0.001610
21.4833,-0.001606
21.5000,-0.001602
21.5167,-0.001599
21.5333,-0.001596
21.5500,-0.001592
21.5667,-0.001588
21.5833,-0.001585
21.6000,-0.001582
21.6167,-0.001578
21.6333,-0.001576
21.6500,-0.001572
21.6667,-0.001568
21.6833,-0.001565
21.7000,-0.001562
21.7167,-0.001559
21.7333,-0.001556
21.7500,-0.001552
21.7667,-0.001548
21.7833,-0.001546
21.8000,-0.001542
21.8167,-0.001539
21.8333,-0.001535
21.8500,-0.001532
21.8667,-0.001529
21.8833,-0.001526
21.9000,-0.001522
21.9167,-0.001520
21.9333,-0.001517
21.9500,-0.001513
21.9667,-0.001510
21.9833,-0.001507
22.0000,-0.001503
22.0167,-0.001500
22.0333,-0.001497
22.0500,-0.001494
22.0667,-0.001491
22.0833,-0.001488
22.1000,-0.001484
22.1167,-0.001482
22.1333,-0.001478
22.1500,-0.001475
22.1667,-0.001472
22.1833,-0.001469
22.2000,-0.001466
22.2167,-0.001463
22.2333,-0.001460
22.2500,-0.001457
22.2667,-0.001453
22.2833,-0.001451
22.3000,-0.001448
22.3167,-0.001444
22.3333,-0.001441
22.3500,-0.001439
22.3667,-0.001435
22.3833,-0.001433
22.4000,-0.001429
22.4167,-0.001427
22.4333,-0.001423
22.4500,-0.001421
22.4667,-0.001417
22.4833,-0.001415
22.5000,-0.001412
22.5167,-0.001409
22.5333,-0.001407
22.5500,-0.001404
22.5667,-0.001401
22.5833,-0.001398
22.6000,-0.001395
22.6167,-0.001392
22.6333,-0.001389
22.6500,-0.001387
22.6667,-0.001384
22.6833,-0.001381
22.7000,-0.001378
22.7167,-0.001375
22.7333,-0.001373
22.7500,-0.001370
22.7667,-0.001367
22.7833,-0.001364
22.8000,-0.001362
22.8167,-0.001359
22.8333,-0.001356
22.8500,-0.001353
22.8667,-0.001351
22.8833,-0.001348
22.9000,-0.001345
22.9167,-0.001342
22.9333,-0.001340
22.9500,-0.001338
22.9667,-0.001335
22.9833,-0.001332
23.0000,-0.001329
23.0167,-0.001326
23.0333,-0.001324
23.0500,-0.001321
23.0667,-0.001319
23.0833,-0.001316
23.1000,-0.001314
23.1167,-0.001311
23.1333,-0.001308
23.1500,-0.001306
23.1667,-0.001303
23.1833,-0.001300
23.2000,-0.001298
23.2167,-0.001295
23.2333,-0.001292
23.2500,-0.001290
23.2667,-0.001288
23.2833,-0.001284
23.3000,-0.001283
23.3167,-0.001280
23.3333,-0.001277
23.3500,-0.001275
23.3667,-0.001273
23.3833,-0.001270
23.4000,-0.001267
23.4167,-0.001265
23.4333,-0.001262
23.4500,-0.001260
23.4667,-0.001258
23.4833,-0.001255
23.5000,-0.001252
23.5167,-0.001250
23.5333,-0.001247
23.5500,-0.001246
23.5667,-0.001243
23.5833,-0.001241
23.6000,-0.001238
23.6167,-0.001235
23.6333,-0.001233
23.6500,-0.001231
23.6667,-0.001229
23.6833,-0.001227
23.7000,-0.001224
23.7167,-0.001221
23.7333,-0.001219
23.7500,-0.001217
23.7667,-0.001215
23.7833,-0.001212
23.8000,-0.001210
23.8167,-0.001208
23.8333,-0.001205
23.8500,-0.001203
23.8667,-0.001201
23.8833,-0.001199
23.9000,-0.001196
23.9167,-0.001194
23.9333,-0.001192
23.9500,-0.001189
23.9667,-0.001188
23.9833,-0.001185
24.0000,-0.001183
24.0167,-0.001181
24.0333,-0.001178
24.0500,-0.001176
24.0667,-0.001174
24.0833,-0.001171
24.1000,-0.001170
24.1167,-0.001168
24.1333,-0.001165
24.1500,-0.001162
24.1667,-0.001160
24.1833,-0.001159
24.2000,-0.001157
24.2167,-0.001154
24.2333,-0.001152
24.2500,-0.001150
24.2667,-0.001147
24.2833,-0.001146
24.3000,-0.001143
24.3167,-0.001141
24.3333,-0.001139
24.3500,-0.001137
24.3667,-0.001135
24.3833,-0.001132
24.4000,-0.001131
24.4167,-0.001128
24.4333,-0.001126
24.4500,-0.001124
24.4667,-0.001122
24.4833,-0.001120
24.5000,-0.001118
24.5167,-0.001116
24.5333,-0.001114
24.5500,-0.001112
24.5667,-0.001110
24.5833,-0.001108
24.6000,-0.001106
24.6167,-0.001104
24.6333,-0.001102
24.6500,-0.001100
24.6667,-0.001098
24.6833,-0.001096
24.7000,-0.001094
24.7167,-0.001091
24.7333,-0.001090
24.7500,-0.001088
24.7667,-0.001086
24.7833,-0.001084
24.8000,-0.001082
24.8167,-0.001080
24.8333,-0.001078
24.8500,-0.001077
24.8667,-0.001074
24.8833,-0.001072
24.9000,-0.001070
24.9167,-0.001068
24.9333,-0.001067
24.9500,-0.001064
24.9667,-0.001063
24.9833,-0.001061
25.0000,-0.001059
25.0167,-0.001057
25.0333,-0.001055
25.0500,-0.001053
25.0667,-0.001052
25.0833,-0.001050
25.1000,-0.001047
25.1167,-0.001045
25.1333,-0.001044
25.1500,-0.001042
25.1667,-0.001040
25.1833,-0.001038
25.2000,-0.001036
25.2167,-0.001035
25.2333,-0.001033
25.2500,-0.001030
25.2667,-0.001029
25.2833,-0.001027
25.3000,-0.001025
25.3167,-0.001023
25.3333,-0.001021
25.3500,-0.001020
25.3667,-0.001017
25.3833,-0.001016
25.4000,-0.001015
25.4167,-0.001012
25.4333,-0.001010
25.4500,-0.001009
25.4667,-0.001007
25.4833,-0.001006
25.5000,-0.001004
25.5167,-0.001002
25.5333,-0.001000
25.5500,-0.000999
25.5667,-0.000997
25.5833,-0.000995
25.6000,-0.000993
25.6167,-0.000992
25.6333,-0.000990
25.6500,-0.000988
25.6667,-0.000986
25.6833,-0.000984
25.7000,-0.000983
25.7167,-0.000981
25.7333,-0.000979
25.7500,-0.000978
25.7667,-0.000976
25.7833,-0.000974
25.8000,-0.000973
25.8167,-0.000970
25.8333,-0.000969
25.8500,-0.000967
25.8667,-0.000965
25.8833,-0.000964
25.9000,-0.000962
25.9167,-0.000960
25.9333,-0.000959
25.9500,-0.000957
25.9667,-0.000956
25.9833,-0.000955
26.0000,-0.000953
26.0167,-0.000951
26.0333,-0.000950
26.0500,-0.000948
26.0667,-0.000946
26.0833,-0.000944
26.1000,-0.000943
26.1167,-0.000941
26.1333,-0.000939
26.1500,-0.000938
26.1667,-0.000936
26.1833,-0.000935
26.2000,-0.000933
26.2167,-0.000931
26.2333,-0.000930
26.2500,-0.000928
26.2667,-0.000926
26.2833,-0.000925
26.3000,-0.000924
26.3167,-0.000922
26.3333,-0.000921
26.3500,-0.000919
26.3667,-0.000918
26.3833,-0.000916
26.4000,-0.000914
26.4167,-0.000913
26.4333,-0.000911
26.4500,-0.000909
26.4667,-0.000908
26.4833,-0.000907
26.5000,-0.000905
26.5167,-0.000904
26.5333,-0.000902
26.5500,-0.000900
26.5667,-0.000900
26.5833,-0.000898
26.6000,-0.000896
26.6167,-0.000895
26.6333,-0.000893
26.6500,-0.000891
26.6667,-0.000890
26.6833,-0.000889
26.7000,-0.000888
26.7167,-0.000886
26.7333,-0.000885
26.7500,-0.000883
26.7667,-0.000882
26.7833,-0.000880
26.8000,-0.000879
26.8167,-0.000877
26.8333,-0.000876
26.8500,-0.000874
26.8667,-0.000873
26.8833,-0.000871
26.9000,-0.000870
26.9167,-0.000869
26.9333,-0.000867
26.9500,-0.000866
26.9667,-0.000864
26.9833,-0.000863
27.0000,-0.000862
27.0167,-0.000860
27.0333,-0.000858
27.0500,-0.000857
27.0667,-0.000856
27.0833,-0.000855
27.1000,-0.000854
27.1167,-0.000852
27.1333,-0.000851
27.1500,-0.000849
27.1667,-0.000848
27.1833,-0.000847
27.2000,-0.000845
27.2167,-0.000844
27.2333,-0.000842
27.2500,-0.000841
27.2667,-0.000839
27.2833,-0.000838
27.3000,-0.000837
27.3167,-0.000835
27.3333,-0.000835
27.3500,-0.000833
27.3667,-0.000832
27.3833,-0.000830
27.4000,-0.000828
27.4167,-0.000827
27.4333,-0.000826
27.4500,-0.000825
27.4667,-0.000824
27.4833,-0.000822
27.5000,-0.000820
27.5167,-0.000820
27.5333,-0.000819
27.5500,-0.000817
27.5667,-0.000815
27.5833,-0.000814
27.6000,-0.000813
27.6167,-0.000812
27.6333,-0.000810
27.6500,-0.000809
27.6667,-0.000808
27.6833,-0.000807
27.7000,-0.000805
27.7167,-0.000804
27.7333,-0.000803
27.7500,-0.000801
27.7667,-0.000800
27.7833,-0.000798
27.8000,-0.000797
27.8167,-0.000796
27.8333,-0.000795
27.8500,-0.000794
27.8667,-0.000793
27.8833,-0.000791
27.9000,-0.000790
27.9167,-0.000789
27.9333,-0.000787
27.9500,-0.000787
27.9667,-0.000785
27.9833,-0.000784
28.0000,-0.000783
28.0167,-0.000781
28.0333,-0.000780
28.0500,-0.000779
28.0667,-0.000778
28.0833,-0.000777
28.1000,-0.000776
28.1167,-0.000774
28.1333,-0.000773
28.1500,-0.000772
28.1667,-0.000770
28.1833,-0.000769
28.2000,-0.000768
28.2167,-0.000767
28.2333,-0.000766
28.2500,-0.000764
28.2667,-0.000763
28.2833,-0.000763
28.3000,-0.000761
28.3167,-0.000759
28.3333,-0.000759
28.3500,-0.000758
28.3667,-0.000756
28.3833,-0.000755
28.4000,-0.000754
28.4167,-0.000753
28.4333,-0.000752
28.4500,-0.000750
28.4667,-0.000749
28.4833,-0.000748
28.5000,-0.000747
28.5167,-0.000746
28.5333,-0.000745
28.5500,-0.000744
28.5667,-0.000742
28.5833,-0.000742
28.6000,-0.000741
28.6167,-0.000739
28.6333,-0.000738
28.6500,-0.000737
28.6667,-0.000736
28.6833,-0.000735
28.7000,-0.000733
28.7167,-0.000732
28.7333,-0.000732
28.7500,-0.000730
28.7667,-0.000729
28.7833,-0.000728
28.8000,-0.000727
28.8167,-0.000726
28.8333,-0.000724
28.8500,-0.000723
28.8667,-0.000722
28.8833,-0.000721
28.9000,-0.000720
28.9167,-0.000719
28.9333,-0.000719
28.9500,-0.000717
28.9667,-0.000716
28.9833,-0.000715
29.0000,-0.000714
29.0167,-0.000713
29.0333,-0.000712
29.0500,-0.000711
29.0667,-0.000710
29.0833,-0.000709
29.1000,-0.000708
29.1167,-0.000707
29.1333,-0.000705
29.1500,-0.000704
29.1667,-0.000703
29.1833,-0.000703
29.2000,-0.000701
29.2167,-0.000701
29.2333,-0.000700
29.2500,-0.000699
29.2667,-0.000698
29.2833,-0.000697
29.3000,-0.000695
29.3167,-0.000695
29.3333,-0.000693
29.3500,-0.000693
29.3667,-0.000691
29.3833,-0.000691
29.4000,-0.000689
29.4167,-0.000689
29.4333,-0.000688
29.4500,-0.000687
29.4667,-0.000686
29.4833,-0.000685
29.5000,-0.000684
29.5167,-0.000683
29.5333,-0.000681
29.5500,-0.000681
29.5667,-0.000680
29.5833,-0.000678
29.6000,-0.000678
29.6167,-0.000676
29.6333,-0.000675
29.6500,-0.000674
29.6667,-0.000674
29.6833,-0.000672
29.7000,-0.000671
29.7167,-0.000671
29.7333,-0.000670
29.7500,-0.000669
29.7667,-0.000668
29.7833,-0.000666
29.8000,-0.000666
29.8167,-0.000665
29.8333,-0.000664
29.8500,-0.000663
29.8667,-0.000662
29.8833,-0.000661
29.9000,-0.000660
29.9167,-0.000659
29.9333,-0.000658
29.9500,-0.000657
29.9667,-0.000657
29.9833,-0.000655
30.0000,-0.000655
30.0167,-0.000654
30.0333,-0.000652
30.0500,-0.000652
30.0667,-0.000651
30.0833,-0.000650
30.1000,-0.000649
30.1167,-0.000648
30.1333,-0.000647
30.1500,-0.000646
30.1667,-0.000645
30.1833,-0.000644
30.2000,-0.000643
30.2167,-0.000642
30.2333,-0.000642
30.2500,-0.000640
30.2667,-0.000639
30.2833,-0.000638
30.3000,-0.000638
30.3167,-0.000637
30.3333,-0.000636
30.3500,-0.000635
30.3667,-0.000634
30.3833,-0.000633
30.4000,-0.000633
30.4167,-0.000631
30.4333,-0.000631
30.4500,-0.000630
30.4667,-0.000629
30.4833,-0.000628
30.5000,-0.000627
30.5167,-0.000626
30.5333,-0.000626
30.5500,-0.000625
30.5667,-0.000624
30.5833,-0.000623
30.6000,-0.000622
30.6167,-0.000621
30.6333,-0.000620
30.6500,-0.000620
30.6667,-0.000619
30.6833,-0.000618
30.7000,-0.000617
30.7167,-0.000616
30.7333,-0.000615
30.7500,-0.000614
30.7667,-0.000614
30.7833,-0.000613
30.8000,-0.000612
30.8167,-0.000611
30.8333,-0.000610
30.8500,-0.000609
30.8667,-0.000608
30.8833,-0.000607
30.9000,-0.000607
30.9167,-0.000606
30.9333,-0.000606
30.9500,-0.000604
30.9667,-0.000604
30.9833,-0.000603
31.0000,-0.000602
31.0167,-0.000601
31.0333,-0.000600
31.0500,-0.000600
31.0667,-0.000598
31.0833,-0.000597
31.1000,-0.000597
31.1167,-0.000596
31.1333,-0.000595
31.1500,-0.000594
31.1667,-0.000594
31.1833,-0.000592
31.2000,-0.000592
31.2167,-0.000591
31.2333,-0.000591
31.2500,-0.000589
31.2667,-0.000588
31.2833,-0.000587
31.3000,-0.000587
31.3167,-0.000587
31.3333,-0.000586
31.3500,-0.000585
31.3667,-0.000584
31.3833,-0.000584
31.4000,-0.000582
31.4167,-0.000581
31.4333,-0.000581
31.4500,-0.000580
31.4667,-0.000579
31.4833,-0.000578
31.5000,-0.000578
31.5167,-0.000577
31.5333,-0.000577
31.5500,-0.000575
31.5667,-0.000574
31.5833,-0.000574
31.6000,-0.000573
31.6167,-0.000572
31.6333,-0.000572
31.6500,-0.000571
31.6667,-0.000570
31.6833,-0.000569
31.7000,-0.000568
31.7167,-0.000568
31.7333,-0.000567
31.7500,-0.000566
31.7667,-0.000566
31.7833,-0.000565
31.8000,-0.000564
31.8167,-0.000563
31.8333,-0.000563
31.8500,-0.000562
31.8667,-0.000561
31.8833,-0.000560
31.9000,-0.000559
31.9167,-0.000559
31.9333,-0.000558
31.9500,-0.000558
31.9667,-0.000556
31.9833,-0.000556
32.0000,-0.000555
32.0167,-0.000554
32.0333,-0.000553
32.0500,-0.000552
32.0667,-0.000553
32.0833,-0.000552
32.1000,-0.000551
32.1167,-0.000550
32.1333,-0.000550
32.1500,-0.000549
32.1667,-0.000548
32.1833,-0.000548
32.2000,-0.000546
32.2167,-0.000546
32.2333,-0.000545
32.2500,-0.000545
32.2667,-0.000543
32.2833,-0.000543
32.3000,-0.000543
32.3167,-0.000541
32.3333,-0.000541
32.3500,-0.000540
32.3667,-0.000540
32.3833,-0.000539
32.4000,-0.000538
32.4167,-0.000538
32.4333,-0.000537
32.4500,-0.000536
32.4667,-0.000535
32.4833,-0.000535
32.5000,-0.000534
32.5167,-0.000533
32.5333,-0.000533
32.5500,-0.000532
32.5667,-0.000531
32.5833,-0.000531
32.6000,-0.000530
32.6167,-0.000529
32.6333,-0.000529
32.6500,-0.000527
32.6667,-0.000527
32.6833,-0.000527
32.7000,-0.000526
32.7167,-0.000525
32.7333,-0.000524
32.7500,-0.000523
32.7667,-0.000523
32.7833,-0.000523
32.8000,-0.000522
32.8167,-0.000521
32.8333,-0.000520
32.8500,-0.000519
32.8667,-0.000519
32.8833,-0.000518
32.9000,-0.000518
32.9167,-0.000517
32.9333,-0.000517
32.9500,-0.000516
32.9667,-0.000515
32.9833,-0.000514
33.0000,-0.000514
33.0167,-0.000513
33.0333,-0.000512
33.0500,-0.000512
33.0667,-0.000511
33.0833,-0.000511
33.1000,-0.000510
33.1167,-0.000510
33.1333,-0.000508
33.1500,-0.000508
33.1667,-0.000508
33.1833,-0.000507
33.2000,-0.000506
33.2167,-0.000506
33.2333,-0.000504
33.2500,-0.000504
33.2667,-0.000503
33.2833,-0.000503
33.3000,-0.000502
33.3167,-0.000502
33.3333,-0.000501
33.3500,-0.000501
33.3667,-0.000500
33.3833,-0.000499
33.4000,-0.000498
33.4167,-0.000498
33.4333,-0.000497
33.4500,-0.000497
33.4667,-0.000496
33.4833,-0.000495
33.5000,-0.000495
33.5167,-0.000494
33.5333,-0.000493
33.5500,-0.000493
33.5667,-0.000492
33.5833,-0.000492
33.6000,-0.000491
33.6167,-0.000491
33.6333,-0.000490
33.6500,-0.000489
33.6667,-0.000489
33.6833,-0.000488
33.7000,-0.000488
33.7167,-0.000487
33.7333,-0.000487
33.7500,-0.000485
33.7667,-0.000485
33.7833,-0.000484
33.8000,-0.000484
33.8167,-0.000483
33.8333,-0.000483
33.8500,-0.000482
33.8667,-0.000482
33.8833,-0.000481
33.9000,-0.000480
33.9167,-0.000480
33.9333,-0.000480
33.9500,-0.000479
33.9667,-0.000478
33.9833,-0.000477
34.0000,-0.000477
34.0167,-0.000477
34.0333,-0.000476
34.0500,-0.000476
34.0667,-0.000475
34.0833,-0.000474
34.1000,-0.000474
34.1167,-0.000473
34.1333,-0.000472
34.1500,-0.000472
34.1667,-0.000471
34.1833,-0.000471
34.2000,-0.000470
34.2167,-0.000469
34.2333,-0.000469
34.2500,-0.000469
34.2667,-0.000467
34.2833,-0.000467
34.3000,-0.000467
34.3167,-0.000466
34.3333,-0.000466
34.3500,-0.000465
34.3667,-0.000465
34.3833,-0.000464
34.4000,-0.000464
34.4167,-0.000463
34.4333,-0.000462
34.4500,-0.000462
34.4667,-0.000461
34.4833,-0.000460
34.5000,-0.000461
34.5167,-0.000459
34.5333,-0.000459
34.5500,-0.000458
34.5667,-0.000458
34.5833,-0.000457
34.6000,-0.000457
34.6167,-0.000457
34.6333,-0.000455
34.6500,-0.000455
34.6667,-0.000455
34.6833,-0.000455
34.7000,-0.000453
34.7167,-0.000453
34.7333,-0.000452
34.7500,-0.000452
34.7667,-0.000452
34.7833,-0.000451
34.8000,-0.000451
34.8167,-0.000451
34.8333,-0.000449
34.8500,-0.000449
34.8667,-0.000449
34.8833,-0.000448
34.9000,-0.000448
34.9167,-0.000446
34.9333,-0.000446
34.9500,-0.000446
34.9667,-0.000446
34.9833,-0.000445
35.0000,-0.000444
35.0167,-0.000444
35.0333,-0.000443
35.0500,-0.000443
35.0667,-0.000443
35.0833,-0.000441
35.1000,-0.000441
35.1167,-0.000441
35.1333,-0.000440
35.1500,-0.000440
35.1667,-0.000439
35.1833,-0.000439
35.2000,-0.000439
35.2167,-0.000438
35.2333,-0.000438
35.2500,-0.000437
35.2667,-0.000436
35.2833,-0.000436
35.3000,-0.000435
35.3167,-0.000434
35.3333,-0.000434
35.3500,-0.000433
35.3667,-0.000433
35.3833,-0.000432
35.4000,-0.000432
35.4167,-0.000431
35.4333,-0.000431
35.4500,-0.000431
35.4667,-0.000430
35.4833,-0.000430
35.5000,-0.000430
35.5167,-0.000429
35.5333,-0.000428
35.5500,-0.000427
35.5667,-0.000428
35.5833,-0.000427
35.6000,-0.000426
35.6167,-0.000426
35.6333,-0.000425
35.6500,-0.000425
35.6667,-0.000425
35.6833,-0.000424
35.7000,-0.000423
35.7167,-0.000423
35.7333,-0.000423
35.7500,-0.000422
35.7667,-0.000422
35.7833,-0.000421
35.8000,-0.000420
35.8167,-0.000420
35.8333,-0.000419
35.8500,-0.000419
35.8667,-0.000419
35.8833,-0.000418
35.9000,-0.000418
35.9167,-0.000417
35.9333,-0.000416
35.9500,-0.000416
35.9667,-0.000416
35.9833,-0.000415
36.0000,-0.000415
36.0167,-0.000415
36.0333,-0.000414
36.0500,-0.000413
36.0667,-0.000413
36.0833,-0.000413
36.1000,-0.000412
36.1167,-0.000411
36.1333,-0.000411
36.1500,-0.000411
36.1667,-0.000410
36.1833,-0.000410
36.2000,-0.000409
36.2167,-0.000409
36.2333,-0.000408
36.2500,-0.000408
36.2667,-0.000408
36.2833,-0.000407
36.3000,-0.000406
36.3167,-0.000406
36.3333,-0.000406
36.3500,-0.000405
36.3667,-0.000405
36.3833,-0.000405
36.4000,-0.000404
36.4167,-0.000404
36.4333,-0.000403
36.4500,-0.000402
36.4667,-0.000402
36.4833,-0.000402
36.5000,-0.000402
36.5167,-0.000400
36.5333,-0.000400
36.5500,-0.000400
36.5667,-0.000400
36.5833,-0.000399
36.6000,-0.000399
36.6167,-0.000398
36.6333,-0.000397
36.6500,-0.000397
36.6667,-0.000397
36.6833,-0.000396
36.7000,-0.000396
36.7167,-0.000395
36.7333,-0.000395
36.7500,-0.000394
36.7667,-0.000395
36.7833,-0.000394
36.8000,-0.000394
36.8167,-0.000393
36.8333,-0.000393
36.8500,-0.000392
36.8667,-0.000391
36.8833,-0.000391
36.9000,-0.000391
36.9167,-0.000390
36.9333,-0.000390
36.9500,-0.000389
36.9667,-0.000389
36.9833,-0.000389
37.0000,-0.000388
37.0167,-0.000387
37.0333,-0.000387
37.0500,-0.000387
37.0667,-0.000386
37.0833,-0.000386
37.1000,-0.000386
37.1167,-0.000385
37.1333,-0.000385
37.1500,-0.000384
37.1667,-0.000384
37.1833,-0.000383
37.2000,-0.000383
37.2167,-0.000383
37.2333,-0.000383
37.2500,-0.000382
37.2667,-0.000381
37.2833,-0.000381
37.3000,-0.000381
37.3167,-0.000380
37.3333,-0.000380
37.3500,-0.000379
37.3667,-0.000379
37.3833,-0.000378
37.4000,-0.000379
37.4167,-0.000378
37.4333,-0.000377
37.4500,-0.000377
37.4667,-0.000376
37.4833,-0.000376
37.5000,-0.000376
37.5167,-0.000376
37.5333,-0.000375
37.5500,-0.000375
37.5667,-0.000374
37.5833,-0.000374
37.6000,-0.000374
37.6167,-0.000373
37.6333,-0.000373
37.6500,-0.000372
37.6667,-0.000372
37.6833,-0.000372
37.7000,-0.000371
37.7167,-0.000370
37.7333,-0.000370
37.7500,-0.000370
37.7667,-0.000370
37.7833,-0.000369
37.8000,-0.000368
37.8167,-0.000368
37.8333,-0.000368
37.8500,-0.000368
37.8667,-0.000367
37.8833,-0.000367
37.9000,-0.000367
37.9167,-0.000366
37.9333,-0.000366
37.9500,-0.000365
37.9667,-0.000365
37.9833,-0.000365
38.0000,-0.000364
38.0167,-0.000364
38.0333,-0.000363
38.0500,-0.000363
38.0667,-0.000362
38.0833,-0.000362
38.1000,-0.000362
38.1167,-0.000362
38.1333,-0.000361
38.1500,-0.000360
38.1667,-0.000360
38.1833,-0.000360
38.2000,-0.000359
38.2167,-0.000359
38.2333,-0.000359
38.2500,-0.000358
38.2667,-0.000358
38.2833,-0.000358
38.3000,-0.000357
38.3167,-0.000357
38.3333,-0.000356
38.3500,-0.000356
38.3667,-0.000356
38.3833,-0.000355
38.4000,-0.000355
38.4167,-0.000354
38.4333,-0.000354
38.4500,-0.000353
38.4667,-0.000353
38.4833,-0.000354
38.5000,-0.000353
38.5167,-0.000353
38.5333,-0.000352
38.5500,-0.000352
38.5667,-0.000352
38.5833,-0.000350
38.6000,-0.000350
38.6167,-0.000350
38.6333,-0.000350
38.6500,-0.000349
38.6667,-0.000349
38.6833,-0.000349
38.7000,-0.000349
38.7167,-0.000348
38.7333,-0.000347
38.7500,-0.000347
38.7667,-0.000347
38.7833,-0.000347
38.8000,-0.000346
38.8167,-0.000346
38.8333,-0.000346
38.8500,-0.000345
38.8667,-0.000345
38.8833,-0.000345
38.9000,-0.000344
38.9167,-0.000344
38.9333,-0.000344
38.9500,-0.000343
38.9667,-0.000343
38.9833,-0.000342
39.0000,-0.000342
39.0167,-0.000341
39.0333,-0.000342
39.0500,-0.000341
39.0667,-0.000341
39.0833,-0.000340
39.1000,-0.000340
39.1167,-0.000339
39.1333,-0.000340
39.1500,-0.000339
39.1667,-0.000338
39.1833,-0.000339
39.2000,-0.000338
39.2167,-0.000337
39.2333,-0.000337
39.2500,-0.000337
39.2667,-0.000336
39.2833,-0.000337
39.3000,-0.000336
39.3167,-0.000335
39.3333,-0.000335
39.3500,-0.000335
39.3667,-0.000335
39.3833,-0.000334
39.4000,-0.000334
39.4167,-0.000333
39.4333,-0.000333
39.4500,-0.000333
39.4667,-0.000333
39.4833,-0.000332
39.5000,-0.000332
39.5167,-0.000332
39.5333,-0.000331
39.5500,-0.000331
39.5667,-0.000331
39.5833,-0.000330
39.6000,-0.000330
39.6167,-0.000330
39.6333,-0.000329
39.6500,-0.000329
39.6667,-0.000329
39.6833,-0.000329
39.7000,-0.000328
39.7167,-0.000328
39.7333,-0.000327
39.7500,-0.000327
39.7667,-0.000327
39.7833,-0.000326
39.8000,-0.000326
39.8167,-0.000326
39.8333,-0.000325
39.8500,-0.000325
39.8667,-0.000325
39.8833,-0.000325
39.9000,-0.000324
39.9167,-0.000324
39.9333,-0.000324
39.9500,-0.000323
39.9667,-0.000323
39.9833,-0.000323
40.0000,-0.000322
40.0167,-0.000322
40.0333,-0.000322
40.0500,-0.000321
40.0667,-0.000321
40.0833,-0.000320
40.1000,-0.000320
40.1167,-0.000320
40.1333,-0.000320
40.1500,-0.000320
40.1667,-0.000319
40.1833,-0.000319
40.2000,-0.000318
40.2167,-0.000319
40.2333,-0.000318
40.2500,-0.000317
40.2667,-0.000317
40.2833,-0.000317
40.3000,-0.000317
40.3167,-0.000316
40.3333,-0.000316
40.3500,-0.000316
40.3667,-0.000315
40.3833,-0.000315
40.4000,-0.000315
40.4167,-0.000314
40.4333,-0.000314
40.4500,-0.000314
40.4667,-0.000314
40.4833,-0.000313
40.5000,-0.000313
40.5167,-0.000313
40.5333,-0.000312
40.5500,-0.000312
40.5667,-0.000312
40.5833,-0.000311
40.6000,-0.000311
40.6167,-0.000311
40.6333,-0.000311
40.6500,-0.000310
40.6667,-0.000310
40.6833,-0.000310
40.7000,-0.000309
40.7167,-0.000309
40.7333,-0.000308
40.7500,-0.000308
40.7667,-0.000308
40.7833,-0.000307
40.8000,-0.000307
40.8167,-0.000307
40.8333,-0.000307
40.8500,-0.000306
40.8667,-0.000306
40.8833,-0.000306
40.9000,-0.000306
40.9167,-0.000305
40.9333,-0.000305
40.9500,-0.000305
40.9667,-0.000305
40.9833,-0.000304
41.0000,-0.000304
41.0167,-0.000304
41.0333,-0.000303
41.0500,-0.000303
41.0667,-0.000303
41.0833,-0.000302
41.1000,-0.000302
41.1167,-0.000302
41.1333,-0.000302
41.1500,-0.000301
41.1667,-0.000301
41.1833,-0.000301
41.2000,-0.000300
41.2167,-0.000300
41.2333,-0.000300
41.2500,-0.000300
41.2667,-0.000299
41.2833,-0.000299
41.3000,-0.000298
41.3167,-0.000299
41.3333,-0.000299
41.3500,-0.000298
41.3667,-0.000298
41.3833,-0.000297
41.4000,-0.000297
41.4167,-0.000296
41.4333,-0.000297
41.4500,-0.000296
41.4667,-0.000296
41.4833,-0.000295
41.5000,-0.000296
41.5167,-0.000295
41.5333,-0.000295
41.5500,-0.000294
41.5667,-0.000295
41.5833,-0.000294
41.6000,-0.000294
41.6167,-0.000294
41.6333,-0.000293
41.6500,-0.000293
41.6667,-0.000293
41.6833,-0.000292
41.7000,-0.000292
41.7167,-0.000292
41.7333,-0.000291
41.7500,-0.000292
41.7667,-0.000291
41.7833,-0.000291
41.8000,-0.000291
41.8167,-0.000290
41.8333,-0.000290
41.8500,-0.000289
41.8667,-0.000290
41.8833,-0.000289
41.9000,-0.000289
41.9167,-0.000289
41.9333,-0.000288
41.9500,-0.000289
41.9667,-0.000288
41.9833,-0.000288
42.0000,-0.000287
42.0167,-0.000287
42.0333,-0.000287
42.0500,-0.000286
42.0667,-0.000286
42.0833,-0.000286
42.1000,-0.000286
42.1167,-0.000286
42.1333,-0.000286
42.1500,-0.000285
42.1667,-0.000285
42.1833,-0.000285
42.2000,-0.000285
42.2167,-0.000284
42.2333,-0.000284
42.2500,-0.000284
42.2667,-0.000284
42.2833,-0.000283
