C_fr,t_end_h
0.185234,35.233333
0.225721,29.450000
0.286132,25.016667
0.352305,22.483333
0.401166,21.316667
0.444898,20.550000
0.508944,19.716667
0.537919,19.433333
0.591168,18.966667
0.631402,18.700000
0.724835,18.183333
0.766604,18.000000
0.812017,17.816667
0.865585,17.633333
0.939937,17.416667
0.965788,17.350000
