t,Tc_main,Tc_expl,Ts_main,Ts_expl,Cc_main,Cc_expl,Cs_main,Cs_expl
100,28.000054,28.000054,28.179977,28.180022,2.5500000,2.5500000,2.2489824,2.2489317
300,28.040814,28.040810,28.848731,28.848806,2.5500000,2.5500000,2.0517078,2.0516785
600,28.453355,28.453367,30.165153,30.165231,2.5500000,2.5500000,1.8774438,1.8774219
900,29.324310,29.324344,31.730355,31.730437,2.5500000,2.5500000,1.7550377,1.7550182
1200,30.542724,30.542778,33.427590,33.427687,2.5500000,2.5500000,1.6587953,1.6587771
1500,31.995719,31.995789,35.120269,35.120353,2.5499992,2.5499992,1.5789070,1.5788898
1800,33.575336,33.575418,36.785543,36.785644,2.5499919,2.5499919,1.5103812,1.5103646
