case,dT0,dTR,dC0,dCR,field_max_T,field_max_C,snap_max_T
MA-3 平滑,-0.000159,+0.000044,+0.000000,-0.000001,1.151e-03,6.209e-07,1.507e-02
MA-5 平滑,+0.001731,-0.010810,+0.000000,+0.000003,1.081e-02,2.728e-06,6.449e-02
