t_h,dt_s,est_rel,n_accept
0.594656,40.76020708,1.184791e-05,152
0.600000,19.23979292,3.282284e-06,153
0.610689,38.47958584,2.997081e-05,154
0.616667,21.52041416,8.016928e-06,155
0.622645,21.52041416,2.180414e-05,156
0.630792,29.32977017,2.492721e-05,157
0.633333,9.14981567,2.999156e-06,158
0.638417,18.29963134,1.489902e-05,159
0.646797,30.17109093,2.120521e-05,160
0.650000,11.52927774,3.080132e-06,161
0.656405,23.05855547,2.564538e-05,162
0.664454,28.97710675,2.565888e-05,163
0.666667,7.96433778,2.462315e-06,164
0.671091,15.92867557,1.016079e-05,165
0.679925,31.80119681,1.829469e-05,166
0.683333,12.27012763,2.679837e-06,167
0.690150,24.54025525,2.229827e-05,168
0.699337,33.07280392,2.512010e-05,169
0.700000,2.38694083,2.987910e-07,170
0.701326,4.77388166,2.144947e-06,171
0.703978,9.54776333,5.507847e-06,172
0.709283,19.09552666,1.504162e-05,173
0.716667,26.58282835,2.257373e-05,174
0.726557,35.60631456,4.722384e-05,175
0.733333,24.39368544,1.682152e-05,176
0.743847,37.85055759,2.981399e-05,177
0.750000,22.14944241,9.340763e-06,178
0.756153,22.14944241,2.607887e-05,179
0.763820,27.60233896,2.888208e-05,180
0.766667,10.24821864,4.403756e-06,181
0.772360,20.49643727,6.024469e-06,182
0.783333,39.50356273,1.595501e-05,183
0.791667,30.00000000,2.485788e-05,184
0.800000,30.00000000,1.621287e-05,185
0.806585,23.70766506,4.000912e-05,186
0.813211,23.85265895,2.908190e-05,187
0.816667,12.43967599,7.814119e-06,188
0.823578,24.87935198,7.959921e-06,189
0.833333,35.12064802,9.715836e-06,190
0.841667,30.00000000,1.947606e-05,191
0.850000,30.00000000,1.576311e-05,192
0.856679,24.04350370,3.926671e-05,193
0.863462,24.41816365,2.790372e-05,194
0.866667,11.53833265,6.005741e-06,195
0.873077,23.07666531,2.639574e-05,196
0.881017,28.58470192,2.384303e-05,197
0.883333,8.33863277,2.428609e-06,198
0.887966,16.67726554,2.957802e-06,199
0.897231,33.35453107,1.025343e-05,200
0.900000,9.96820339,1.256979e-06,201
0.905538,19.93640678,2.877858e-06,202
0.916614,39.87281355,1.019292e-05,203
0.916667,0.19077967,1.677038e-08,204
0.916773,0.38155935,6.873531e-08,205
0.916985,0.76311870,1.407745e-07,206
0.917409,1.52623740,3.492029e-07,207
0.918256,3.05247480,9.263227e-07,208
0.919952,6.10494960,2.522604e-06,209
0.923344,12.20989920,6.940597e-06,210
0.930127,24.41979839,1.917042e-05,211
0.933333,11.54196257,4.445815e-06,212
0.939746,23.08392514,6.074459e-06,213
0.950000,36.91607486,9.702616e-06,214
0.958333,30.00000000,3.848998e-05,215
0.966667,30.00000000,2.932329e-05,216
0.976460,35.25676378,1.381630e-05,217
0.983333,24.74323622,6.320352e-06,218
0.990206,24.74323622,2.735227e-05,219
0.998570,30.10837415,2.569746e-05,220
1.000000,5.14838964,8.751034e-07,221
1.002860,10.29677927,8.623712e-06,222
1.008581,20.59355854,1.676044e-05,223
1.016667,29.10966218,2.201217e-05,224
1.027635,39.48509641,9.543937e-06,225
1.033333,20.51490359,2.529873e-06,226
1.044731,41.02980719,9.343259e-06,227
1.050000,18.97019281,2.004125e-06,228
1.060539,37.94038563,3.204622e-05,229
1.066667,22.05961437,9.980067e-06,230
1.078922,44.11922874,2.311899e-05,231
1.083333,15.88077126,3.433386e-06,232
1.092156,31.76154251,8.058797e-06,233
1.100000,28.23845749,5.959232e-06,234
1.107844,28.23845749,2.202702e-05,235
1.116667,31.76154251,2.131956e-05,236
1.128827,43.77639001,3.525920e-05,237
1.133333,16.22360999,5.169838e-06,238
1.142346,32.44721997,3.430496e-05,239
1.150000,27.55278003,1.715751e-05,240
1.161759,42.33170489,4.612841e-05,241
1.166667,17.66829511,7.975041e-06,242
1.176482,35.33659022,1.307400e-05,243
1.183333,24.66340978,4.468586e-06,244
1.197035,49.32681956,4.036916e-05,245
1.200000,10.67318044,2.155834e-06,246
1.205930,21.34636087,3.859369e-05,247
1.212004,21.86720168,2.870321e-05,248
1.216667,16.78643745,1.475870e-05,249
1.224391,27.80750574,1.290876e-05,250
1.233333,32.19249426,1.390151e-05,251
1.248597,54.94791092,3.420135e-05,252
1.250000,5.05208908,4.382718e-07,253
1.252807,10.10417815,1.880490e-06,254
1.258420,20.20835630,3.564381e-06,255
1.266667,29.68746555,6.379885e-06,256
1.283160,59.37493109,4.561714e-05,257
1.283333,0.62506891,2.156895e-08,258
1.283681,1.25013782,3.168480e-07,259
1.284375,2.50027564,6.621036e-07,260
1.285764,5.00055127,1.545530e-06,261
1.288542,10.00110255,3.713990e-06,262
1.294098,20.00220510,9.082203e-06,263
1.300000,21.24572762,8.143787e-06,264
1.311803,42.49145524,1.351323e-05,265
1.316667,17.50854476,2.040002e-06,266
1.326394,35.01708952,2.526006e-05,267
1.333333,24.98291048,1.078554e-05,268
1.346781,48.41160671,4.726754e-05,269
1.350000,11.58839329,3.112666e-06,270
1.356438,23.17678658,2.081917e-05,271
1.365417,32.32577789,2.216874e-05,272
1.366667,4.49743554,5.265664e-07,273
1.369165,8.99487108,1.094755e-05,274
1.373971,17.30071507,2.186864e-05,275
1.380511,23.54402509,2.838133e-05,276
1.383333,10.16038877,5.316327e-06,277
1.388978,20.32077754,6.914559e-06,278
1.400000,39.67922246,1.798902e-05,279
